seed,model,final_signal_quality,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,long_term_trajectory_value,state_complexity_count
16038,simple_online_calibration,0.7626687671498105,0.8307692307692308,0.11532385466034756,0.2923076923076923,0.8067201595250175,0.7203385992627698,1
16039,tdc_feedback_development,0.9140577284631182,0.8571428571428571,0.045813586097946286,0.2857142857142857,0.8565173706213071,0.7932301211163779,4
16039,simple_static_threshold,0.58,0.6,0.19036334913112166,0.4962962962962963,0.6196680709145165,0.6509868351764075,0
16039,simple_quality_schedule,0.92,0.9136690647482014,0.04265402843601896,0.23741007194244604,0.8931382590609976,0.7587709320695104,0
16039,simple_online_calibration,0.7289854694371277,0.7542372881355932,0.13270142180094788,0.3389830508474576,0.754417705546905,0.7033875724065297,1
16040,tdc_feedback_development,0.9154649766593607,0.9041095890410958,0.04028436018957346,0.2465753424657534,0.8867971210363319,0.8099347024749874,4
16040,simple_static_threshold,0.58,0.639344262295082,0.20616113744075829,0.4672131147540984,0.6400300675938155,0.6527256450763553,0
16040,simple_quality_schedule,0.92,0.9029850746268657,0.052132701421800945,0.26119402985074625,0.8816779373275803,0.7324760400210646,0
16040,simple_online_calibration,0.7220804924045868,0.7333333333333333,0.1066350710900474,0.35555555555555557,0.7458739485315673,0.7267904160084255,1
16041,tdc_feedback_development,0.913521401912907,0.8642857142857143,0.04107424960505529,0.3,0.8577419317944964,0.7820816219062676,4
16041,simple_static_threshold,0.58,0.6111111111111112,0.179304897314376,0.5138888888888888,0.623361242759347,0.632181147972616,0
16041,simple_quality_schedule,0.92,0.8827586206896552,0.052132701421800945,0.2413793103448276,0.8765389769570191,0.7487377567140601,0
16041,simple_online_calibration,0.7516317024235447,0.8092105263157895,0.11058451816745656,0.3092105263157895,0.7929304833089879,0.6966192733017376,1
16042,tdc_feedback_development,0.9139278723623405,0.8768115942028986,0.0339652448657188,0.2536231884057971,0.8741367115913523,0.7893064770932079,4
16042,simple_static_threshold,0.58,0.7431192660550459,0.20458135860979462,0.3394495412844037,0.712597489745931,0.6744802527646124,0
16042,simple_quality_schedule,0.92,0.8920863309352518,0.052132701421800945,0.2446043165467626,0.8800914453271506,0.734041600842549,0
16042,simple_online_calibration,0.7227245713407849,0.7796610169491526,0.1358609794628752,0.3389830508474576,0.7642873372661698,0.7117709320695101,1
16043,tdc_feedback_development,0.9138249780930637,0.8357142857142857,0.03475513428120063,0.2857142857142857,0.849051291286291,0.7711021590310703,4
16043,simple_static_threshold,0.58,0.6460176991150443,0.18562401263823064,0.40707964601769914,0.6591672328705839,0.6672053712480244,0
16043,simple_quality_schedule,0.92,0.8484848484848485,0.04897314375987362,0.3409090909090909,0.841841734884389,0.730915218536072,0
16043,simple_online_calibration,0.7141079621126966,0.7518248175182481,0.1382306477093207,0.3795620437956204,0.741878823899128,0.7167630331753556,1
16044,tdc_feedback_development,0.9144519429124122,0.896551724137931,0.04265402843601896,0.2482758620689655,0.882430089197934,0.776793048973145,4
16044,simple_static_threshold,0.58,0.6347826086956522,0.19984202211690363,0.4260869565217391,0.6474663781853149,0.6615387045813576,0
16044,simple_quality_schedule,0.92,0.859375,0.053712480252764615,0.2734375,0.859288753949447,0.7440168509741973,0
16044,simple_online_calibration,0.6784095392997007,0.6923076923076923,0.16350710900473933,0.4153846153846154,0.6975215475555457,0.7186550816219062,1
16045,tdc_feedback_development,0.9148950411831605,0.9212598425196851,0.030805687203791468,0.2047244094488189,0.9046951659808103,0.7941211163770415,4
16045,simple_static_threshold,0.58,0.6048387096774194,0.18641390205371247,0.47580645161290325,0.6267333486215156,0.6476556082148486,0
16045,simple_quality_schedule,0.92,0.8289473684210527,0.04739336492890995,0.3026315789473684,0.8410213270142181,0.7462780410742499,0
16045,simple_online_calibration,0.7459196672744812,0.7461538461538462,0.11137440758293839,0.36153846153846153,0.753074607036123,0.7179657714586628,1
16046,tdc_feedback_development,0.9140944640442293,0.8608695652173913,0.03949447077409163,0.26956521739130435,0.8626935363213813,0.7992490784623493,4
16046,simple_static_threshold,0.58,0.6982758620689655,0.1966824644549763,0.3879310344827586,0.6843014381434874,0.6439631384939427,0
16046,simple_quality_schedule,0.92,0.8646616541353384,0.04818325434439179,0.2932330827067669,0.8588144769506706,0.7476977356503429,0
16046,simple_online_calibration,0.7430414338806666,0.7795275590551181,0.11532385466034756,0.29133858267716534,0.7809111291894005,0.6993238546603471,1
16047,tdc_feedback_development,0.913176102745596,0.8429752066115702,0.037914691943127965,0.32231404958677684,0.844269510081065,0.7902164296998427,4
16047,simple_static_threshold,0.58,0.6258992805755396,0.2109004739336493,0.5035971223021583,0.6257551570118313,0.6327430226434951,0
16047,simple_quality_schedule,0.92,0.8482758620689655,0.038704581358609796,0.296551724137931,0.8526728768317264,0.7426255924170619,0
16047,simple_online_calibration,0.7266924490878286,0.7768595041322314,0.12006319115323855,0.35537190082644626,0.7635036258267414,0.7133127962085307,1
16048,tdc_feedback_development,0.913912787887612,0.8493150684931506,0.035545023696682464,0.2945205479452055,0.853265584676682,0.7762116903633502,4
16048,simple_static_threshold,0.58,0.6319444444444444,0.20063191153238547,0.4444444444444444,0.642359728804634,0.6590289626119,0
16048,simple_quality_schedule,0.92,0.8914728682170543,0.05529225908372828,0.2713178294573643,0.873840772989456,0.7254202211690373,0
16048,simple_online_calibration,0.7351322549410976,0.75,0.10505529225908374,0.34146341463414637,0.7584660968625186,0.7200321221695634,1
16049,tdc_feedback_development,0.9155794429315006,0.9142857142857143,0.03712480252764613,0.19047619047619047,0.9032452892675292,0.7841416535018437,4
16049,simple_static_threshold,0.58,0.6859504132231405,0.19273301737756715,0.47107438016528924,0.6629162064418419,0.6564460242232746,0
