seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
19039,FULL,0.900990099009901,0.22772277227722773,0.10314685314685315,0.7250583333333305,0.94,0.8240015493376254
19039,simple_two_signal_learner,0.7821782178217822,0.3465346534653465,0.2089160839160839,0.6665624999999972,0.891314411122754,0.7228772101969806
19040,PTVM,0.9148936170212766,0.22340425531914893,0.18356643356643357,0.7343266666666637,0.94,0.815485401229975
19040,FULL,0.8829787234042553,0.2553191489361702,0.1258741258741259,0.7169658333333306,0.94,0.8051304629457414
19040,simple_two_signal_learner,0.7553191489361702,0.3723404255319149,0.21503496503496503,0.6734833333333302,0.8767272244518695,0.7088744786242119
19041,PTVM,0.9568965517241379,0.2672413793103448,0.14025974025974025,0.7368216666666633,0.94,0.8264120893043729
19041,FULL,0.9051724137931034,0.31896551724137934,0.09696969696969697,0.7036108333333299,0.94,0.7983191137669793
19041,simple_two_signal_learner,0.8017241379310345,0.4051724137931034,0.18095238095238095,0.6661224999999965,0.9202064864003272,0.7195642867405575
19042,PTVM,0.9382716049382716,0.19753086419753085,0.16267123287671234,0.7452483333333304,0.94,0.8358766021900889
19042,FULL,0.9012345679012346,0.2222222222222222,0.11643835616438356,0.7212916666666638,0.94,0.8218500602486041
19042,simple_two_signal_learner,0.8271604938271605,0.2839506172839506,0.16866438356164384,0.6856741666666637,0.8744402376735588,0.7648461587814976
19043,PTVM,0.94,0.19,0.14646904969485613,0.7412908333333301,0.94,0.8405288983943613
19043,FULL,0.92,0.21,0.10636442894507411,0.7205933333333305,0.94,0.8323754475443179
19043,simple_two_signal_learner,0.78,0.33,0.13949433304272013,0.6811791666666631,0.8235510103629783,0.7438959250581216
19044,PTVM,0.9560439560439561,0.2087912087912088,0.18339100346020762,0.7101541666666632,0.94,0.8254757255900088
19044,FULL,0.9010989010989011,0.25274725274725274,0.12370242214532871,0.6893983333333298,0.94,0.8047519560471239
19044,simple_two_signal_learner,0.7692307692307693,0.3626373626373626,0.18079584775086505,0.6532016666666628,0.820275016255406,0.7172511372263829
19045,PTVM,0.9368421052631579,0.21052631578947367,0.16534040671971706,0.7162924999999972,0.94,0.8244260962876349
19045,FULL,0.9368421052631579,0.21052631578947367,0.11229000884173299,0.6940516666666641,0.94,0.8294759675298984
19045,simple_two_signal_learner,0.8315789473684211,0.30526315789473685,0.17771883289124668,0.6469033333333306,0.8829266431412248,0.7493399614919254
19046,PTVM,0.9213483146067416,0.33707865168539325,0.16782006920415224,0.6957966666666628,0.94,0.7825199842865094
19046,FULL,0.898876404494382,0.34831460674157305,0.10813148788927336,0.6765908333333298,0.94,0.7801056804183991
19046,simple_two_signal_learner,0.8314606741573034,0.38202247191011235,0.17474048442906576,0.64134333333333,0.878282750532363,0.7293203207171823
19047,PTVM,0.9468085106382979,0.24468085106382978,0.12488928255093003,0.74805833333333,0.94,0.8349090672486785
19047,FULL,0.8723404255319149,0.2765957446808511,0.0841452612931798,0.721624999999997,0.94,0.806130389230725
19047,simple_two_signal_learner,0.7978723404255319,0.32978723404255317,0.15323294951284322,0.6848433333333304,0.890663191022724,0.7474791370477851
19048,PTVM,0.9042553191489362,0.26595744680851063,0.12467076382791922,0.7598291666666636,0.94,0.8198103729436352
19048,FULL,0.8297872340425532,0.3191489361702128,0.08867427568042142,0.7304433333333302,0.94,0.7840249143674611
19048,simple_two_signal_learner,0.7127659574468085,0.39361702127659576,0.16330114135206322,0.6760566666666633,0.8049083872088469,0.7017794703111467
19049,PTVM,0.9494949494949495,0.15151515151515152,0.14933333333333335,0.722252499999997,0.94,0.8476661553030296
19049,FULL,0.9090909090909091,0.18181818181818182,0.10755555555555556,0.7004349999999971,0.94,0.8308703661616155
19049,simple_two_signal_learner,0.8686868686868687,0.2222222222222222,0.17422222222222222,0.666977499999997,0.8289271728264467,0.7869504356060599
19050,PTVM,0.9509803921568627,0.24509803921568626,0.1584070796460177,0.7294433333333301,0.94,0.8246990252472662
