seed,model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
17043,simple_frozen_core,0.1615720524017467,0.7545454545454545,0.08555555555555555,0.4,0.6568622222222189,0.7768643099995587,0.8
17043,tdc_evidence_validated,0.15958034235229154,0.8245614035087719,0.052222222222222225,0.3333333333333333,0.7177711111111089,0.827885738815418,0.908993896505497
17044,simple_time_schedule,0.23799126637554585,0.8490566037735849,0.06222222222222222,0.32075471698113206,0.6698051851851818,0.8213965622995492,0.92
17044,simple_anticapture,0.20730397422126745,0.7634408602150538,0.1111111111111111,0.41935483870967744,0.6941192592592564,0.7646298002058396,0.79
17044,simple_frozen_core,0.1538040503557745,0.6956521739130435,0.07666666666666666,0.40869565217391307,0.6969903703703679,0.7634843487224641,0.8
17044,tdc_evidence_validated,0.1724709784411277,0.8691588785046729,0.06,0.24299065420560748,0.7133162962962937,0.8548530186829129,0.9102025659811441
17045,simple_time_schedule,0.22481502561183836,0.8529411764705882,0.06555555555555556,0.23529411764705882,0.6776207407407365,0.8414753388214956,0.92
17045,simple_anticapture,0.19405405405405404,0.8021978021978022,0.11888888888888889,0.32967032967032966,0.718428888888886,0.7953541144771145,0.79
17045,simple_frozen_core,0.16213214880621876,0.7029702970297029,0.09666666666666666,0.42574257425742573,0.6711718518518486,0.7559006171004292,0.8
17045,tdc_evidence_validated,0.14978213507625274,0.9090909090909091,0.04777777777777778,0.2818181818181818,0.716475555555553,0.8642985936629016,0.9107267414438276
17046,simple_time_schedule,0.2241095890410959,0.8205128205128205,0.04777777777777778,0.3247863247863248,0.6875992592592561,0.8183087535027123,0.92
17046,simple_anticapture,0.19435569755058574,0.7523809523809524,0.11555555555555555,0.29523809523809524,0.7011614814814777,0.7879802100850278,0.79
17046,simple_frozen_core,0.17497231450719822,0.6862745098039216,0.09777777777777778,0.45098039215686275,0.657859259259256,0.7432581769555364,0.8
17046,tdc_evidence_validated,0.15187806205770277,0.8189655172413793,0.056666666666666664,0.3448275862068966,0.7190644444444418,0.8246550294658875,0.910718369833637
17047,simple_time_schedule,0.21887213847012843,0.8347826086956521,0.056666666666666664,0.3565217391304348,0.6716274074074041,0.8143966108238455,0.92
17047,simple_anticapture,0.21945945945945947,0.8285714285714286,0.11333333333333333,0.3142857142857143,0.6910007407407376,0.8013793806663806,0.79
17047,simple_frozen_core,0.15056664867781974,0.7222222222222222,0.09111111111111111,0.42592592592592593,0.6739592592592564,0.7642443362115487,0.8
17047,tdc_evidence_validated,0.15565264882577826,0.9090909090909091,0.056666666666666664,0.2809917355371901,0.7513266666666643,0.8636913216118681,0.9110288081580358
17048,simple_time_schedule,0.2340782122905028,0.7978723404255319,0.07111111111111111,0.32978723404255317,0.6595422222222185,0.8037714056552687,0.92
17048,simple_anticapture,0.19491066594477532,0.7844827586206896,0.11777777777777777,0.3448275862068966,0.7075585185185159,0.7868818745471756,0.79
