seed,model,stage,A_TF,I,C_T,R_C,H_self,latent_integration_score,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10765,linear_internal_map,3,0.3118959427850114,0.3200791714880651,0.4247573484921318,0.3490388205264308,0.8462697319015138,0.35283923768325626,0.7351934857774296,0.6517208722038002,0.637,0.6415929203539823,0.313,0.6604850213980028,0.0
10765,emergent_nonlinear,3,0.3118959427850114,0.3200791714880651,0.4247573484921318,0.3490388205264308,0.8462697319015138,0.35283923768325626,0.7351934857774296,0.5564786250777403,0.558,0.5909090909090909,0.18,0.5529753265602322,0.0
10765,static_reliability,4,0.4971797779194611,0.47367914237530556,0.4785356495818768,0.5198697118197588,0.7657280013258301,0.5296660673734257,0.7775804001473948,0.62,0.636,0.6373873873873874,0.2979499999999985,0.6297814207650273,0.321
10765,linear_internal_map,4,0.4971797779194611,0.47367914237530556,0.4785356495818768,0.5198697118197588,0.7657280013258301,0.5296660673734257,0.7775804001473948,0.727756408970573,0.664,0.7176724137931034,0.3846499999999975,0.7439353099730458,0.347
10765,emergent_nonlinear,4,0.4971797779194611,0.47367914237530556,0.4785356495818768,0.5198697118197588,0.7657280013258301,0.5296660673734257,0.7775804001473948,0.6128394109767392,0.6,0.6043956043956044,0.22474999999999848,0.5979827089337176,0.305
10765,static_reliability,5,0.6494150637128198,0.6497040868254697,0.7136885076293547,0.6969248272522526,0.557423042887902,0.7788506326622995,0.8129892359287616,0.62,0.642,0.6091954022988506,0.26469999999999577,0.6380697050938338,0.746
10765,linear_internal_map,5,0.6494150637128198,0.6497040868254697,0.7136885076293547,0.6969248272522526,0.557423042887902,0.7788506326622995,0.8129892359287616,0.8349057720447888,0.798,0.7931818181818182,0.5768499999999994,0.8339719029374202,0.783
10765,emergent_nonlinear,5,0.6494150637128198,0.6497040868254697,0.7136885076293547,0.6969248272522526,0.557423042887902,0.7788506326622995,0.8129892359287616,0.7479049045785126,0.749,0.7397849462365591,0.4691499999999943,0.7793923381770145,0.757
10766,static_reliability,1,0.2408672407430819,0.2712554836023508,0.2435074384304866,0.2894930291292097,0.7325340584431832,0.28545300694063536,0.6779040566166818,0.62,0.597,0.6080760095011877,0.267,0.6042003231017771,0.0
10766,linear_internal_map,1,0.2408672407430819,0.2712554836023508,0.2435074384304866,0.2894930291292097,0.7325340584431832,0.28545300694063536,0.6779040566166818,0.6227447929844732,0.621,0.5963718820861678,0.265,0.5897035881435257,0.0
10766,emergent_nonlinear,1,0.2408672407430819,0.2712554836023508,0.2435074384304866,0.2894930291292097,0.7325340584431832,0.28545300694063536,0.6779040566166818,0.5456724811105017,0.621,0.605080831408776,0.279,0.5723270440251572,0.0
10766,static_reliability,2,0.27385768569520536,0.2794625594064921,0.3105228247181185,0.3377377804564814,0.8207872082708322,0.3067418184956099,0.7101683714676671,0.62,0.607,0.6036036036036037,0.255,0.6082317073170732,0.0
10766,linear_internal_map,2,0.27385768569520536,0.2794625594064921,0.3105228247181185,0.3377377804564814,0.8207872082708322,0.3067418184956099,0.7101683714676671,0.6318989819531122,0.579,0.6044776119402985,0.261,0.6274217585692996,0.0
10766,emergent_nonlinear,2,0.27385768569520536,0.2794625594064921,0.3105228247181185,0.3377377804564814,0.8207872082708322,0.3067418184956099,0.7101683714676671,0.5490786909592976,0.615,0.5978260869565217,0.245,0.5441176470588235,0.0
10766,static_reliability,3,0.34380510277823273,0.3074243800204935,0.4210458062774583,0.33687267555153433,0.8288008960080795,0.35864245318741733,0.7370416645496649,0.62,0.62,0.5945945945945946,0.23,0.6471449487554904,0.0
10766,linear_internal_map,3,0.34380510277823273,0.3074243800204935,0.4210458062774583,0.33687267555153433,0.8288008960080795,0.35864245318741733,0.7370416645496649,0.6542162548705894,0.628,0.6181818181818182,0.292,0.6598240469208211,0.0
10766,emergent_nonlinear,3,0.34380510277823273,0.3074243800204935,0.4210458062774583,0.33687267555153433,0.8288008960080795,0.35864245318741733,0.7370416645496649,0.5575443348258227,0.59,0.5974842767295597,0.206,0.5557163531114327,0.0
10766,static_reliability,4,0.4616584737942528,0.4167974846321417,0.4942439374583291,0.44313907826300447,0.7122178560404065,0.4921019679878335,0.7573110095291749,0.62,0.605,0.6094117647058823,0.2577999999999984,0.6017069701280228,0.304
10766,linear_internal_map,4,0.4616584737942528,0.4167974846321417,0.4942439374583291,0.44313907826300447,0.7122178560404065,0.4921019679878335,0.7573110095291749,0.7116038462347685,0.665,0.6931818181818182,0.37954999999999783,0.7323943661971831,0.309
10766,emergent_nonlinear,4,0.4616584737942528,0.4167974846321417,0.4942439374583291,0.44313907826300447,0.7122178560404065,0.4921019679878335,0.7573110095291749,0.5975911830810314,0.601,0.6030701754385965,0.2233499999999991,0.5934379457917262,0.313
10766,static_reliability,5,0.5825958655988291,0.7342906708227329,0.6824914424743633,0.6875791800992046,0.49533001432312734,0.7979570461380927,0.785678497521455,0.62,0.641,0.6537634408602151,0.2817999999999963,0.6397849462365591,0.744
10766,linear_internal_map,5,0.5825958655988291,0.7342906708227329,0.6824914424743633,0.6875791800992046,0.49533001432312734,0.7979570461380927,0.785678497521455,0.8431215298393799,0.8,0.8095238095238095,0.6036499999999997,0.8555708390646493,0.727
10766,emergent_nonlinear,5,0.5825958655988291,0.7342906708227329,0.6824914424743633,0.6875791800992046,0.49533001432312734,0.7979570461380927,0.785678497521455,0.7604447235690719,0.726,0.7361111111111112,0.46054999999999413,0.7556742323097463,0.749
10767,static_reliability,1,0.22531373012405986,0.19959760641823032,0.321614727037966,0.2466436743205313,0.7951017393056851,0.25256990712955646,0.6902904031399397,0.62,0.62,0.6375838926174496,0.296,0.6141732283464567,0.0
10767,linear_internal_map,1,0.22531373012405986,0.19959760641823032,0.321614727037966,0.2466436743205313,0.7951017393056851,0.25256990712955646,0.6902904031399397,0.6086050600657092,0.581,0.5401301518438177,0.157,0.614307931570762,0.0
10767,emergent_nonlinear,1,0.22531373012405986,0.19959760641823032,0.321614727037966,0.2466436743205313,0.7951017393056851,0.25256990712955646,0.6902904031399397,0.5404111851407291,0.624,0.6600877192982456,0.314,0.5557299843014128,0.0
10767,static_reliability,2,0.22552669728124256,0.2324173377883108,0.3860069045987776,0.29800801125828846,0.7810260743507123,0.2866352569648537,0.6993296119291811,0.62,0.602,0.5866666666666667,0.23,0.6107692307692307,0.0
10767,linear_internal_map,2,0.22552669728124256,0.2324173377883108,0.3860069045987776,0.29800801125828846,0.7810260743507123,0.2866352569648537,0.6993296119291811,0.6232531604948871,0.614,0.6467780429594272,0.318,0.6309341500765697,0.0
10767,emergent_nonlinear,2,0.22552669728124256,0.2324173377883108,0.3860069045987776,0.29800801125828846,0.7810260743507123,0.2866352569648537,0.6993296119291811,0.5458616411143766,0.592,0.5852534562211982,0.232,0.5285935085007728,0.0
10767,static_reliability,3,0.35144547410011223,0.31295513250611245,0.37600828638022854,0.35233882919428794,0.8003780338794123,0.36205197223274943,0.7301444942647286,0.62,0.611,0.5835140997830802,0.227,0.6198473282442748,0.0
10767,linear_internal_map,3,0.35144547410011223,0.31295513250611245,0.37600828638022854,0.35233882919428794,0.8003780338794123,0.36205197223274943,0.7301444942647286,0.6556823480600822,0.606,0.6064814814814815,0.266,0.6521106259097526,0.0
10767,emergent_nonlinear,3,0.35144547410011223,0.31295513250611245,0.37600828638022854,0.35233882919428794,0.8003780338794123,0.36205197223274943,0.7301444942647286,0.5582126321145184,0.6,0.6066666666666667,0.246,0.5152394775036284,0.0
10767,static_reliability,4,0.47740796307326283,0.43054605494067655,0.5587545148098421,0.4693925749488216,0.6813655792030916,0.5247481477744106,0.7645142375224736,0.62,0.606,0.6319290465631929,0.25754999999999845,0.6445366528354081,0.329
10767,linear_internal_map,4,0.47740796307326283,0.43054605494067655,0.5587545148098421,0.4693925749488216,0.6813655792030916,0.5247481477744106,0.7645142375224736,0.7256417035429965,0.643,0.6729166666666667,0.31314999999999826,0.7540029112081513,0.317
10767,emergent_nonlinear,4,0.47740796307326283,0.43054605494067655,0.5587545148098421,0.4693925749488216,0.6813655792030916,0.5247481477744106,0.7645142375224736,0.610757848579884,0.597,0.6144578313253012,0.2622999999999986,0.635593220338983,0.294
10767,static_reliability,5,0.6044952203203868,0.6774901314399798,0.6746836429793706,0.6004206950273697,0.5416918134201183,0.7538441318631299,0.7894943871934827,0.62,0.621,0.6372093023255814,0.2723999999999965,0.6297814207650273,0.732
10767,linear_internal_map,5,0.6044952203203868,0.6774901314399798,0.6746836429793706,0.6004206950273697,0.5416918134201183,0.7538441318631299,0.7894943871934827,0.8241529767011458,0.774,0.7773019271948608,0.5273999999999949,0.8199481865284974,0.772
10767,emergent_nonlinear,5,0.6044952203203868,0.6774901314399798,0.6746836429793706,0.6004206950273697,0.5416918134201183,0.7538441318631299,0.7894943871934827,0.7319334119993812,0.72,0.7152317880794702,0.42589999999999467,0.7493074792243767,0.722
10768,static_reliability,1,0.18061282311864837,0.24089477097206075,0.2961484201482999,0.2729484146153336,0.7370959457581352,0.26104924049113126,0.6714833699225101,0.62,0.619,0.6045454545454545,0.271,0.620583717357911,0.0
10768,linear_internal_map,1,0.18061282311864837,0.24089477097206075,0.2961484201482999,0.2729484146153336,0.7370959457581352,0.26104924049113126,0.6714833699225101,0.6122511734111864,0.614,0.5862068965517241,0.23,0.6044657097288676,0.0
10768,emergent_nonlinear,1,0.18061282311864837,0.24089477097206075,0.2961484201482999,0.2729484146153336,0.7370959457581352,0.26104924049113126,0.6714833699225101,0.541767878478581,0.606,0.5878378378378378,0.24,0.5582137161084529,0.0
