quality,seed,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value
0.6,15511,0.6161879895561357,0.5645438898450946,0.3492260061919505,0.2021153846153846,0.10115384615384615,0.4490861618798956,0.5978465101993086,0.6143923076923031
0.6,15512,0.6623376623376623,0.5375722543352601,0.32700551132884265,0.21134615384615385,0.09557692307692307,0.41818181818181815,0.6129231015104489,0.6396371153846128
0.6,15513,0.6385224274406333,0.5308411214953271,0.31272294887039237,0.22230769230769232,0.10019230769230769,0.43799472295514513,0.5960935373592481,0.6258898076923043
0.6,15514,0.6781326781326781,0.595903165735568,0.3396011396011396,0.22288461538461538,0.11076923076923077,0.4103194103194103,0.6295314462546305,0.6366211538461497
0.6,15515,0.6398104265402843,0.5401459854014599,0.33412042502951594,0.2169230769230769,0.1,0.42890995260663506,0.6027590943101814,0.599016153846149
0.6,15516,0.6398963730569949,0.5418118466898955,0.33533653846153844,0.21269230769230768,0.09961538461538462,0.4481865284974093,0.6013649502730934,0.6105680769230732
0.6,15517,0.6370192307692307,0.5293040293040293,0.3373934226552984,0.20923076923076922,0.09923076923076923,0.43509615384615385,0.6003833392450019,0.6085599999999967
0.6,15518,0.6514745308310992,0.5299145299145299,0.3268321513002364,0.21903846153846154,0.1076923076923077,0.43699731903485256,0.6033570660178527,0.6182523076923032
0.6,15519,0.6941747572815534,0.5638841567291312,0.3517673888255416,0.21865384615384614,0.10807692307692307,0.40048543689320387,0.6346140451433048,0.6209219230769187
0.6,15520,0.6294277929155313,0.5693693693693693,0.32774116237267825,0.21576923076923077,0.105,0.4359673024523161,0.6011495354845962,0.6381892307692261
0.6,15521,0.5974358974358974,0.5199240986717267,0.312,0.215,0.10884615384615384,0.47692307692307695,0.5725293942490148,0.6028269230769194
0.6,15522,0.587467362924282,0.5836431226765799,0.3258766626360339,0.2144230769230769,0.09519230769230769,0.4725848563968668,0.5818778959040258,0.6209748076923036
0.6,15523,0.648910411622276,0.5147347740667977,0.3225806451612903,0.21403846153846154,0.10173076923076924,0.42857142857142855,0.6011249633183605,0.6167640384615356
0.6,15524,0.6282722513089005,0.5339622641509434,0.3175470552519733,0.21615384615384614,0.09346153846153846,0.450261780104712,0.5925104050135231,0.6246138461538427
0.6,15525,0.6085858585858586,0.5912408759124088,0.3315727699530516,0.21903846153846154,0.11153846153846154,0.45707070707070707,0.5931801498508346,0.622277692307689
0.6,15526,0.616751269035533,0.5168539325842697,0.3081947743467934,0.22403846153846155,0.09846153846153846,0.4365482233502538,0.5841821053533892,0.614043076923073
0.6,15527,0.6378504672897196,0.5273037542662116,0.34437869822485206,0.21307692307692308,0.09942307692307692,0.4439252336448598,0.5999347097352953,0.5903490384615339
0.6,15528,0.6073170731707317,0.5567567567567567,0.3435960591133005,0.205,0.09519230769230769,0.47317073170731705,0.5892656738222339,0.5973248076923037
0.6,15529,0.6338797814207651,0.5413669064748201,0.3232261976955731,0.21461538461538462,0.09826923076923078,0.453551912568306,0.5963159590941838,0.6252574999999954
0.6,15530,0.6608478802992519,0.5637342908438061,0.33998825601879035,0.21615384615384614,0.10134615384615385,0.42144638403990026,0.6170822321723836,0.624496730769226
0.6,15531,0.6666666666666666,0.574757281553398,0.3284968078932095,0.2225,0.10230769230769231,0.4074074074074074,0.6206733677262426,0.6393034615384575
