seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15252,hierarchical_recall_guard_probe,0.8672897196261682,0.6005398110661269,0.4087230215827338,0.19338235294117648,0.30411764705882355,0.3270588235294118,0.21495327102803738,0.4682860998650472,0.7341895883941421,0.7252005882352982,0.28,0.5819999999999999
15252,global_probe,0.8505747126436781,0.6049562682215743,0.4153771760154739,0.17779411764705882,0.24691176470588236,0.30411764705882355,0.2777777777777778,0.478134110787172,0.7262597358875709,0.7103048529411771,0.28,0.74
15253,hierarchical_no_probe,0.8624031007751938,0.6050069541029207,0.4057169202397418,0.18955882352941175,0.0,0.3189705882352941,0.25,0.4575799721835883,0.7468549014626713,0.7276814705882361,0.28,0.6460000000000004
15253,hierarchical_boundary_probe,0.846441947565543,0.5997088791848617,0.4458204334365325,0.15794117647058822,0.06470588235294118,0.285,0.27715355805243447,0.47889374090247455,0.740939001773693,0.7160982352941184,0.28,0.5799999999999998
15253,hierarchical_recall_guard_probe,0.8801571709233792,0.6031294452347084,0.3970856102003643,0.19470588235294117,0.32,0.32294117647058823,0.22986247544204322,0.48933143669985774,0.7355046231650842,0.723890588235297,0.28,0.74
15253,global_probe,0.862934362934363,0.6104078762306611,0.41458823529411765,0.18294117647058825,0.24441176470588236,0.3125,0.25868725868725867,0.4613220815752461,0.7341387509986318,0.718926470588239,0.28,0.74
15254,hierarchical_no_probe,0.8732673267326733,0.6008230452674898,0.4130639097744361,0.1836764705882353,0.0,0.3129411764705882,0.22178217821782178,0.4897119341563786,0.7557514033939801,0.7340600000000015,0.28,0.74
15254,hierarchical_boundary_probe,0.8652094717668488,0.6031518624641834,0.42444339175746093,0.1786764705882353,0.06705882352941177,0.3104411764705882,0.24772313296903462,0.45702005730659023,0.747696398555518,0.7256538235294133,0.28,0.74
15254,hierarchical_recall_guard_probe,0.8910133843212237,0.6068493150684932,0.4196675900277008,0.18485294117647058,0.30779411764705883,0.3185294117647059,0.21032504780114722,0.48356164383561645,0.7478830275171426,0.7292280882353007,0.28,0.74
15254,global_probe,0.857976653696498,0.6030640668523677,0.4199903892359443,0.1775,0.2426470588235294,0.3060294117647059,0.25486381322957197,0.4735376044568245,0.7327466186249798,0.7185611764705901,0.28,0.74
15255,hierarchical_no_probe,0.8288659793814434,0.6128048780487805,0.3758765778401122,0.1963235294117647,0.0,0.3145588235294118,0.28865979381443296,0.4740853658536585,0.7245236845267184,0.723037352941178,0.28,0.74
15255,hierarchical_boundary_probe,0.8349146110056926,0.6053748231966054,0.38801966919982117,0.2013235294117647,0.06397058823529411,0.3289705882352941,0.2713472485768501,0.4582743988684583,0.7253146039573065,0.7130010294117647,0.28,0.74
15255,hierarchical_recall_guard_probe,0.8984881209503239,0.6058495821727019,0.4167482859941234,0.1751470588235294,0.3060294117647059,0.3002941176470588,0.2203023758099352,0.48467966573816157,0.7503329483005181,0.7402922058823571,0.28,0.74
15255,global_probe,0.8709677419354839,0.6022566995768688,0.3971313312415957,0.19779411764705881,0.25073529411764706,0.3280882352941176,0.23719165085388993,0.4837799717912553,0.734479382404794,0.7182266176470612,0.28,0.3900000000000001
15256,hierarchical_no_probe,0.8494208494208494,0.6118980169971672,0.3843102688408991,0.20544117647058824,0.0,0.3336764705882353,0.26833976833976836,0.4773371104815864,0.7357189872661982,0.7126520588235304,0.28,0.74
15256,hierarchical_boundary_probe,0.8558225508317929,0.6020260492040521,0.4434914228052472,0.16220588235294117,0.06441176470588235,0.2914705882352941,0.2513863216266174,0.47756874095513746,0.7476067857018949,0.725397352941177,0.28,0.74
15256,hierarchical_recall_guard_probe,0.884313725490196,0.6024759284731774,0.42013232514177695,0.18044117647058824,0.30514705882352944,0.3111764705882353,0.23137254901960785,0.47042640990371387,0.7425087917226159,0.7271030882352962,0.28,0.74
15256,global_probe,0.8837675350701403,0.6062322946175638,0.4132192106514503,0.1814705882352941,0.2486764705882353,0.30926470588235294,0.20641282565130262,0.46742209631728043,0.7481930352224924,0.7458063235294174,0.28,0.74
15257,hierarchical_no_probe,0.8517786561264822,0.6105263157894737,0.4120626151012891,0.18779411764705883,0.0,0.31941176470588234,0.2707509881422925,0.4618421052631579,0.7418504818718379,0.7132047058823539,0.28,0.74
