seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12429,ethicalsense_plus_idealgap,0.4877970020695172,0.5017502479689382,0.8333663958584036,0.8620297562725631,0.34591723722834405,0.5138095238095238,0.5063694267515924,0.035352380952381295,0.33642195295794725,0.6015625
12430,static_baseline,0.24,0.56,0.32,0.4,0.64,0.513095238095238,0.5103092783505154,0.024238095238094833,0.358974358974359,0.0
12430,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6252380952380953,0.6157003591585428,0.2368166666666726,0.25093353248693057,0.0
12430,ethicalsense_fed_thirdfactor,0.95,0.5038999999999998,0.32,0.4,0.64,0.49785714285714283,0.5007849293563579,0.007207142857142386,0.3736422881969587,0.0
12430,ethicalsense_plus_idealgap,0.49902021484009784,0.9348588187444647,0.8931364574107047,0.9158228116696336,0.3033826998785409,0.5980952380952381,0.5928205128205128,0.1871666666666713,0.2783650458069063,0.7033898305084746
12431,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5188095238095238,0.5297773174520973,0.05101666666666673,0.34410919540229884,0.0
12431,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.604047619047619,0.5925925925925926,0.19985476190476728,0.2617159336697909,0.0
12431,ethicalsense_fed_thirdfactor,0.95,0.50128,0.32,0.4,0.64,0.49976190476190474,0.49922879177377893,-0.0011309523809527639,0.3522975929978118,0.0
12431,ethicalsense_plus_idealgap,0.5012888576208764,0.94,0.8934042230822368,0.9160638007740132,0.3042360839440348,0.569047619047619,0.573373676248109,0.13188333333333632,0.3055355859094177,0.6537467700258398
12432,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5185714285714286,0.5066172578083642,0.039078571428571775,0.3403214535290007,0.0
12432,success_fed_thirdfactor,0.95,0.9380000000000001,0.32,0.4,0.64,0.606904761904762,0.6009745533297238,0.2252119047619096,0.27487821851078637,0.0
12432,ethicalsense_fed_thirdfactor,0.95,0.5051199999999998,0.32,0.4,0.64,0.49976190476190474,0.4989648033126294,0.001961904761904428,0.3439536567704562,0.0
12432,ethicalsense_plus_idealgap,0.496843604508498,0.9264529886164492,0.8930873198753712,0.9157785878878341,0.30239772269193765,0.5583333333333333,0.5606846473029046,0.1210619047619085,0.30007077140835103,0.6747311827956989
12433,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5169047619047619,0.5179781136008338,0.04069761904761922,0.3293622985283812,0.0
12433,success_fed_thirdfactor,0.95,0.9355000000000001,0.32,0.4,0.64,0.61,0.6170903190914008,0.2427928571428627,0.26785714285714285,0.0
12433,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5026190476190476,0.5067287784679089,0.012319047619047297,0.336864406779661,0.0
12433,ethicalsense_plus_idealgap,0.5041166005457635,0.94,0.8929861485318845,0.915687533678696,0.30590124613720443,0.5854761904761905,0.5825292026409344,0.16041190476190847,0.2733918128654971,0.635036496350365
12434,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5269047619047619,0.5316062176165803,0.06111904761904801,0.3353159851301115,0.0
12434,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5985714285714285,0.5905306971904266,0.19134285714286192,0.2874074074074074,0.0
12434,ethicalsense_fed_thirdfactor,0.95,0.5038399999999998,0.32,0.4,0.64,0.5128571428571429,0.5036420395421436,0.022128571428571216,0.34870317002881845,0.0
12434,ethicalsense_plus_idealgap,0.47218762533068676,0.5052013841863762,0.8297321619537837,0.8587589457584063,0.3414790352984717,0.5111904761904762,0.5060750132065505,0.030169047619047974,0.36421952957947257,0.6536144578313253
12435,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5192857142857142,0.5339554173146708,0.05600714285714306,0.3321114369501466,0.0
12435,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6142857142857143,0.6115404430705822,0.22342142857143418,0.2629370629370629,0.0
12435,ethicalsense_fed_thirdfactor,0.95,0.50128,0.32,0.4,0.64,0.49666666666666665,0.4940383618455158,-0.005111904761904524,0.34782608695652173,0.0
12435,ethicalsense_plus_idealgap,0.5029156564121612,0.94,0.8930915349505392,0.9157823814554841,0.3052517868217622,0.5792857142857143,0.5833333333333334,0.17074285714286092,0.29645390070921984,0.6640625
12436,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5297619047619048,0.5325474115838031,0.05982619047619165,0.3046018991964938,0.0
12436,success_fed_thirdfactor,0.95,0.9325000000000004,0.32,0.4,0.64,0.590952380952381,0.5909805977975878,0.18733095238095762,0.28347578347578345,0.0
12436,ethicalsense_fed_thirdfactor,0.95,0.5051799999999997,0.32,0.4,0.64,0.5169047619047619,0.5184210526315789,0.0458333333333334,0.3587033121916843,0.0
12436,ethicalsense_plus_idealgap,0.4884878474719253,0.6470875046380233,0.85343685143403,0.8800931662906278,0.33018597648662235,0.5188095238095238,0.5203761755485894,0.046138095238095506,0.3267605633802817,0.6455026455026455
12437,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5040476190476191,0.4949290060851927,-0.00803809523809508,0.36329588014981273,0.0
12437,success_fed_thirdfactor,0.95,0.9395000000000002,0.32,0.4,0.64,0.5980952380952381,0.6018099547511312,0.18788809523810138,0.2819188191881919,0.0
12437,ethicalsense_fed_thirdfactor,0.95,0.5025599999999999,0.32,0.4,0.64,0.49547619047619046,0.5015228426395939,-0.00959523809523883,0.3615942028985507,0.0
12437,ethicalsense_plus_idealgap,0.4725700785767789,0.5509662064388136,0.8343006650241842,0.8628705985217668,0.33800421084031235,0.5178571428571429,0.5142413257379596,0.03506428571428609,0.3366906474820144,0.6606606606606606
