seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11217,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7828571428571428,0.7763779527559055,0.5441071428571503,0.8616915422885573,0.7178571428571429
11217,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7871428571428571,0.7906976744186046,0.5705714285714373,0.8642578125,0.7314285714285714
11217,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8364285714285714,0.8382838283828383,0.6555714285714423,0.8653846153846154,0.8171428571428572
11217,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7085714285714285,0.7034596375617792,0.41339285714285595,0.7286384976525822,0.7607142857142857
11218,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8628571428571429,0.8636363636363636,0.7006785714285851,0.9311969839773798,0.7578571428571429
11218,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7228571428571429,0.7059800664451827,0.436821428571429,0.7857911733046287,0.6635714285714286
11218,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7471428571428571,0.7377049180327869,0.4799285714285736,0.7846580406654344,0.7728571428571429
11218,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7914285714285715,0.7960848287112561,0.5780714285714359,0.8685831622176592,0.6957142857142857
11218,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8178571428571428,0.7977883096366508,0.5978214285714392,0.8751200768491835,0.7435714285714285
11218,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8278571428571428,0.8229665071770335,0.6278571428571555,0.8543103448275862,0.8285714285714286
11218,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7328571428571429,0.7286585365853658,0.43964285714285795,0.755045871559633,0.7785714285714286
11219,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8621428571428571,0.8728414442700158,0.7082142857142996,0.9280373831775701,0.7642857142857142
11219,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7535714285714286,0.7567140600315956,0.5007142857142898,0.8119565217391305,0.6571428571428571
11219,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7464285714285714,0.759075907590759,0.499035714285718,0.781048758049678,0.7764285714285715
11219,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7992857142857143,0.7987616099071208,0.5776785714285823,0.8696517412935323,0.7178571428571429
11219,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.795,0.7827426810477658,0.557321428571437,0.8679802955665025,0.725
11219,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8142857142857143,0.8238095238095238,0.6151071428571536,0.8601583113456465,0.8121428571428572
11219,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7257142857142858,0.719047619047619,0.4350000000000017,0.7490566037735849,0.7571428571428571
11220,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8607142857142858,0.8695652173913043,0.7072857142857276,0.9356060606060606,0.7542857142857143
11220,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7385714285714285,0.7477341389728097,0.46778571428571597,0.7937915742793792,0.6442857142857142
11220,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7485714285714286,0.7538200339558574,0.503857142857147,0.7832699619771863,0.7514285714285714
11220,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8171428571428572,0.8225039619651348,0.6208214285714391,0.8761061946902655,0.7264285714285714
11220,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.805,0.8055555555555556,0.599357142857152,0.8627254509018036,0.7128571428571429
11220,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8314285714285714,0.8164665523156089,0.6366785714285849,0.8644501278772379,0.8378571428571429
