seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
19227,PTVM,0.937984496124031,0.24806201550387597,0.1453900709219858,0.7361479999999987,0.0,0.94,0.8375314307768429
19227,FULL,0.8527131782945736,0.3333333333333333,0.09929078014184398,0.6983367999999985,0.5158,0.94,0.7664998241266696
19227,PTVM_conditional_A,0.937984496124031,0.24806201550387597,0.1453900709219858,0.7361479999999987,0.3608,0.94,0.8194914307768428
19228,PTVM,0.9154929577464789,0.2676056338028169,0.1261516654854713,0.7028439999999984,0.0,0.94,0.8230849457761449
19228,FULL,0.8591549295774648,0.30985915492957744,0.09355067328136074,0.6805303999999983,0.5342,0.94,0.7709676354845726
19228,PTVM_conditional_A,0.9154929577464789,0.2676056338028169,0.1261516654854713,0.7028439999999984,0.3762,0.94,0.8042749457761449
19229,PTVM,0.9407407407407408,0.2222222222222222,0.1447084233261339,0.6844527999999981,0.0,0.94,0.8346155420014396
19229,FULL,0.9111111111111111,0.24444444444444444,0.09215262778977681,0.6615671999999982,0.524,0.94,0.7999051366642665
19229,PTVM_conditional_A,0.9407407407407408,0.2222222222222222,0.1447084233261339,0.6844527999999981,0.3674,0.94,0.8162455420014396
19230,PTVM,0.9097744360902256,0.2631578947368421,0.16596931659693165,0.7061575999999974,0.0,0.94,0.8151805138234703
19230,FULL,0.8345864661654135,0.3383458646616541,0.11157601115760112,0.6798591999999976,0.5398,0.94,0.7524561114526898
19230,PTVM_conditional_A,0.9097744360902256,0.2631578947368421,0.16596931659693165,0.7061575999999974,0.374,0.94,0.7964805138234703
19231,PTVM,0.9491525423728814,0.23728813559322035,0.1422680412371134,0.6977831999999982,0.0,0.94,0.8365267605661364
19231,FULL,0.9152542372881356,0.2542372881355932,0.09759450171821306,0.6919799999999982,0.5332,0.94,0.8032340488088994
19231,PTVM_conditional_A,0.9491525423728814,0.23728813559322035,0.1422680412371134,0.6977831999999982,0.3726,0.94,0.8178967605661364
19232,PTVM,0.9663865546218487,0.2605042016806723,0.13785864240727783,0.7209343999999989,0.0,0.94,0.8414050674849308
19232,FULL,0.9327731092436975,0.2857142857142857,0.10076976906927922,0.6919103999999988,0.539,0.94,0.7996814875306818
19232,PTVM_conditional_A,0.9663865546218487,0.2605042016806723,0.13785864240727783,0.7209343999999989,0.375,0.94,0.8226550674849308
19233,PTVM,0.9661016949152542,0.2288135593220339,0.1319298245614035,0.7386975999999983,0.0,0.94,0.8539806737317868
19233,FULL,0.940677966101695,0.2542372881355932,0.09543859649122807,0.7168127999999981,0.534,0.94,0.8162189084983641
19233,PTVM_conditional_A,0.9661016949152542,0.2288135593220339,0.1319298245614035,0.7386975999999983,0.3668,0.94,0.8356406737317867
19234,PTVM,0.873015873015873,0.30952380952380953,0.1233071988595866,0.722606399999999,0.0,0.94,0.8043836497518921
19234,FULL,0.8095238095238095,0.373015873015873,0.08267997148966501,0.702441599999999,0.5296,0.94,0.7470755003052414
19234,PTVM_conditional_A,0.873015873015873,0.30952380952380953,0.1233071988595866,0.722606399999999,0.3696,0.94,0.7859036497518921
19235,PTVM,0.928,0.24,0.14615384615384616,0.7470639999999992,0.0,0.94,0.8385820307692307
19235,FULL,0.888,0.256,0.0944055944055944,0.7347687999999991,0.5314,0.94,0.8039026411188809
19235,PTVM_conditional_A,0.928,0.24,0.14615384615384616,0.7470639999999992,0.3684,0.94,0.8201620307692306
19236,PTVM,0.9411764705882353,0.19852941176470587,0.12727272727272726,0.735981599999999,0.0,0.94,0.8544623627807485
19236,FULL,0.8970588235294118,0.2426470588235294,0.08391608391608392,0.722590399999999,0.5248,0.94,0.8099507455697241
19236,PTVM_conditional_A,0.9411764705882353,0.19852941176470587,0.12727272727272726,0.735981599999999,0.367,0.94,0.8361123627807484
19237,PTVM,0.928,0.216,0.17294281729428174,0.7391559999999988,0.0,0.94,0.8376426365411433
19237,FULL,0.872,0.272,0.11645746164574616,0.718639199999999,0.5274,0.94,0.7876663476708506
19237,PTVM_conditional_A,0.928,0.216,0.17294281729428174,0.7391559999999988,0.3596,0.94,0.8196626365411434
19238,PTVM,0.9424460431654677,0.26618705035971224,0.13226032190342898,0.7230663999999993,0.0,0.94,0.8343482659790263
