seed,model,trap_capture,false_consolidation,final_recall,final_false_alarm,final_violation,trajectory,integrated_score,final_quality
16714,simple_time_schedule,0.2726069695632995,0.0,0.8314606741573034,0.068,0.3146067415730337,0.7026337777777769,0.8242172293048334,0.92
16714,simple_anti_capture,0.2131731197151758,0.0,0.7547169811320755,0.12533333333333332,0.39622641509433965,0.7400053333333321,0.7843657878939634,0.78
16714,simple_frozen_core,0.21201413427561838,0.0,0.7105263157894737,0.124,0.3881578947368421,0.7355399999999986,0.7729459369908871,0.78
16714,tdc_evidence_validated,0.13470115967885815,0.0,0.8321678321678322,0.06,0.32167832167832167,0.781783555555554,0.8469278651818674,0.9120676393701693
16715,simple_time_schedule,0.2690780767534186,0.0,0.7533333333333333,0.082,0.36,0.7059764444444432,0.789808127032299,0.92
16715,simple_anti_capture,0.213743864346274,0.0,0.797752808988764,0.11733333333333333,0.3258426966292135,0.7415911111111101,0.8127768068067525,0.78
16715,simple_frozen_core,0.2100877192982456,0.0,0.7142857142857143,0.12,0.39097744360902253,0.7273973333333323,0.7741738381954887,0.78
16715,tdc_evidence_validated,0.13715822501120573,0.0,0.8410596026490066,0.050666666666666665,0.2913907284768212,0.7513871111111099,0.8557730680422134,0.9126742759620173
16716,simple_time_schedule,0.2687303723642889,0.0,0.7828947368421053,0.06533333333333333,0.3618421052631579,0.7285791111111102,0.8022609123134439,0.92
16716,simple_anti_capture,0.20421607378129117,0.0,0.8614457831325302,0.12133333333333333,0.3132530120481928,0.7490355555555538,0.8353143044229618,0.78
16716,simple_frozen_core,0.21111609143881668,0.0,0.7908496732026143,0.13733333333333334,0.3137254901960784,0.7308644444444438,0.8094681288979121,0.78
16716,tdc_evidence_validated,0.12814847547503314,0.0,0.8783783783783784,0.05533333333333333,0.28378378378378377,0.793907111111109,0.8706122546346964,0.9135422286124348
16717,simple_time_schedule,0.26537785588752194,0.0,0.8452380952380952,0.05733333333333333,0.3333333333333333,0.7414888888888872,0.8290914176360643,0.92
16717,simple_anti_capture,0.22409959982214317,0.0,0.7514450867052023,0.11933333333333333,0.37572254335260113,0.7212439999999993,0.7862848333659403,0.78
16717,simple_frozen_core,0.21479500891265596,0.0,0.7875,0.11733333333333333,0.29375,0.757097777777776,0.8165926098633391,0.78
16717,tdc_evidence_validated,0.14823107926556203,0.0,0.8427672955974843,0.056666666666666664,0.2893081761006289,0.782921333333331,0.8553330556952742,0.9133615484356022
16718,simple_time_schedule,0.2600441501103753,0.0,0.8292682926829268,0.06933333333333333,0.32926829268292684,0.7101706666666658,0.8224474749195068,0.92
16718,simple_anti_capture,0.2171199286669639,0.0,0.7828571428571428,0.11066666666666666,0.35428571428571426,0.725978666666666,0.8027223566532917,0.78
16718,simple_frozen_core,0.21246707638279191,0.0,0.7941176470588235,0.13933333333333334,0.32941176470588235,0.6990635555555555,0.805490092705102,0.78
16718,tdc_evidence_validated,0.1519324744557974,0.0,0.8106060606060606,0.056,0.30303030303030304,0.7684635555555535,0.841963753374168,0.9127884840245213
16719,simple_time_schedule,0.2671957671957672,0.0,0.8076923076923077,0.06266666666666666,0.34065934065934067,0.7092404444444431,0.8138580345461944,0.92
16719,simple_anti_capture,0.22147950089126558,0.0,0.8095238095238095,0.118,0.30357142857142855,0.7190053333333329,0.8186559403514133,0.78
16719,simple_frozen_core,0.21062106210621062,0.0,0.803921568627451,0.13066666666666665,0.30718954248366015,0.7432613333333316,0.816462066729967,0.78
16719,tdc_evidence_validated,0.13914988814317675,0.0,0.8224852071005917,0.059333333333333335,0.28402366863905326,0.7675746666666654,0.8504828307289888,0.9132116871688678
16720,simple_time_schedule,0.28403141361256545,0.0,0.82,0.06533333333333333,0.29333333333333333,0.6926097777777767,0.8235133265386851,0.92
16720,simple_anti_capture,0.21107719145224596,0.0,0.7636363636363637,0.124,0.37575757575757573,0.7218359999999995,0.7909420271360794,0.78
16720,simple_frozen_core,0.21555555555555556,0.0,0.7058823529411765,0.11733333333333333,0.4411764705882353,0.7277551111111097,0.7613418384313725,0.78
