seed,model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,false_consolidation_rate,integrated_score,long_term_trajectory_value
13619,full_loop,0.6065384615384616,0.5442784679780308,0.94,0.893491292585062,0.9097700378533885,0.3243724391007321,0.22423076923076923,0.21543408360128619,0.7637784272331986,0.1140538461538455
13619,ablate_ethicalsense,0.555,0.5379661030979027,0.699590952911777,0.8588583999220976,0.8789852443751978,0.3498665883837999,0.24653846153846154,0.23529411764705882,0.730385639610309,0.057403846153847686
13619,ablate_idealgap,0.6276923076923077,0.95,0.94,0.95,0.95,0.1,0.21807692307692308,0.1644075207695671,0.8252707863845816,0.20630288461538407
13619,ablate_shadow_validation,0.59,0.7395968183654259,0.94,0.8934541005870447,0.9097369782995953,0.42857321930569076,0.2403846153846154,0.5196261682242991,0.711159218722,0.054984615384616096
13619,ablate_core_constraint,0.6126923076923076,0.6559374408124254,0.94,0.95,0.8819943680767363,0.2886326046904834,0.23346153846153847,0.2984409799554566,0.7639137310700751,0.11029326923076763
13620,full_loop,0.605,0.5473677068328366,0.9389632363831224,0.8947972177864946,0.9109308602546625,0.3249317621554343,0.23192307692307693,0.22153846153846155,0.7619736827032839,0.12138749999999957
13620,ablate_ethicalsense,0.5484615384615384,0.5248228801162809,0.7037542636749294,0.8600794542013576,0.8800706259567633,0.341839324227551,0.26153846153846155,0.21678321678321677,0.7299564383937173,0.04538557692307808
13620,ablate_idealgap,0.6188461538461538,0.95,0.94,0.95,0.95,0.1,0.21807692307692308,0.1709663314385658,0.8224033668561433,0.1929913461538472
13620,ablate_shadow_validation,0.575,0.7246525044113686,0.94,0.8937221213241702,0.9099752189548177,0.42037956791592057,0.23192307692307693,0.5076045627376425,0.7111975089899751,0.05790769230769293
13620,ablate_core_constraint,0.6053846153846154,0.608526899559916,0.94,0.9493974512240322,0.8807372392703406,0.3120498037452621,0.23115384615384615,0.28083989501312334,0.7603386823976482,0.11010576923076848
13621,full_loop,0.561923076923077,0.5466038221218129,0.9163237906895004,0.8913238564319766,0.9078434279395358,0.32741882477165213,0.23038461538461538,0.22560975609756098,0.7495165416502767,0.031276923076923854
13621,ablate_ethicalsense,0.5365384615384615,0.5293686599296475,0.7025862900642832,0.8601548803406225,0.8801376714138871,0.3442008850119599,0.2619230769230769,0.21328671328671328,0.7269381160995593,0.02788076923077053
13621,ablate_idealgap,0.6080769230769231,0.95,0.94,0.95,0.95,0.1,0.2246153846153846,0.160352422907489,0.8197916807861743,0.16151634615384622
13621,ablate_shadow_validation,0.5865384615384616,0.6914330788904282,0.94,0.8939110202466357,0.9101431291081196,0.4025051252026986,0.23423076923076924,0.46487603305785125,0.7207519067724295,0.04444711538461693
13621,ablate_core_constraint,0.5484615384615384,0.7013175746251858,0.94,0.95,0.8719875060817476,0.30556027926360635,0.27615384615384614,0.36627906976744184,0.7301278600423721,0.008665384615385926
13622,full_loop,0.5907692307692308,0.5440137711877746,0.94,0.893344973645668,0.9096399765739265,0.3243531999287567,0.24346153846153845,0.21052631578947367,0.7573972067164516,0.07777211538461497
13622,ablate_ethicalsense,0.5488461538461539,0.5288704829410846,0.7025551821291536,0.8598758514843987,0.8798896457639095,0.34416771466491297,0.26384615384615384,0.22742474916387959,0.7282262901439323,0.050398076923078405
13622,ablate_idealgap,0.6173076923076923,0.95,0.94,0.95,0.95,0.1,0.22192307692307692,0.17387580299785868,0.8211508812386757,0.15590384615384675
13622,ablate_shadow_validation,0.5803846153846154,0.721924103309878,0.9379847342503812,0.8935216026618538,0.9097969801438697,0.4190915195470578,0.24346153846153845,0.5077821011673151,0.7109226214561849,0.05251923076923109
