seed,model,P,T,V,M,Aanti,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q
18891,P_A,1,0,0,0,1,0.759493670886076,0.34177215189873417,0.2082051282051282,0.6914799999999955,0.8009701598645623
18891,P_T_V,1,1,1,0,0,0.7848101265822784,0.31645569620253167,0.13230769230769232,0.7217009523809486,0.94
18891,P_T_V_M,1,1,1,1,0,0.9240506329113924,0.189873417721519,0.14153846153846153,0.7561323809523764,0.94
18891,FULL,1,1,1,1,1,0.8734177215189873,0.22784810126582278,0.09230769230769231,0.7465085714285673,0.94
18892,base,0,0,0,0,0,0.5432098765432098,0.5061728395061729,0.3634453781512605,0.5215371428571393,0.58
18892,P,1,0,0,0,0,0.6790123456790124,0.4074074074074074,0.23004201680672268,0.6361219047619012,0.7956566453146814
18892,T,0,1,0,0,0,0.5432098765432098,0.5061728395061729,0.3634453781512605,0.5215371428571393,0.58
18892,V,0,0,1,0,0,0.5432098765432098,0.5061728395061729,0.3634453781512605,0.5215371428571393,0.58
18892,M,0,0,0,1,0,0.5802469135802469,0.48148148148148145,0.42436974789915966,0.5253171428571378,0.58
18892,A,0,0,0,0,1,0.5432098765432098,0.5061728395061729,0.3634453781512605,0.5215371428571393,0.58
18892,P_T,1,1,0,0,0,0.7160493827160493,0.37037037037037035,0.19012605042016806,0.6644704761904728,0.8571402630790259
18892,P_V,1,0,1,0,0,0.7901234567901234,0.2962962962962963,0.17121848739495799,0.668618095238092,0.94
18892,P_M,1,0,0,1,0,0.691358024691358,0.35802469135802467,0.4012605042016807,0.5772380952380899,0.5833435587154334
18892,P_A,1,0,0,0,1,0.6790123456790124,0.4074074074074074,0.23004201680672268,0.6361219047619012,0.7956566453146814
18892,P_T_V,1,1,1,0,0,0.7901234567901234,0.2962962962962963,0.15441176470588236,0.6783885714285681,0.94
18892,P_T_V_M,1,1,1,1,0,0.9382716049382716,0.1728395061728395,0.15756302521008403,0.7470647619047581,0.94
18892,FULL,1,1,1,1,1,0.8765432098765432,0.2345679012345679,0.11554621848739496,0.7096723809523774,0.94
18893,base,0,0,0,0,0,0.5393258426966292,0.5617977528089888,0.3683673469387755,0.5222799999999964,0.58
18893,P,1,0,0,0,0,0.7865168539325843,0.3707865168539326,0.2612244897959184,0.6538333333333294,0.8072046521808994
18893,T,0,1,0,0,0,0.5393258426966292,0.5617977528089888,0.3683673469387755,0.5222799999999964,0.58
18893,V,0,0,1,0,0,0.5393258426966292,0.5617977528089888,0.3683673469387755,0.5222799999999964,0.58
18893,M,0,0,0,1,0,0.5955056179775281,0.5056179775280899,0.4173469387755102,0.5250857142857096,0.58
18893,A,0,0,0,0,1,0.5393258426966292,0.5617977528089888,0.3683673469387755,0.5222799999999964,0.58
18893,P_T,1,1,0,0,0,0.8314606741573034,0.33707865168539325,0.22040816326530613,0.6892028571428533,0.842474816194437
18893,P_V,1,0,1,0,0,0.8426966292134831,0.3258426966292135,0.18061224489795918,0.6983752380952348,0.94
18893,P_M,1,0,0,1,0,0.6629213483146067,0.449438202247191,0.4153061224489796,0.5500399999999945,0.6130711659599921
18893,P_A,1,0,0,0,1,0.7865168539325843,0.3707865168539326,0.2612244897959184,0.6538333333333294,0.8072046521808994
18893,P_T_V,1,1,1,0,0,0.8426966292134831,0.3258426966292135,0.1704081632653061,0.7060799999999967,0.94
