seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11826,no_codevelopment,0.22,0.54,0.68,0.28,0.5008333333333334,0.46306306306306305,0.004166666666666667,0.6751515151515152,0.0,0.0
11826,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4708333333333333,0.44227188081936686,-0.028333333333333332,0.7072879330943848,-0.040000000000000036,0.0
11826,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4995833333333333,0.462878093492209,0.01125,0.694047619047619,-0.040000000000000036,0.0
11827,no_codevelopment,0.22,0.54,0.68,0.28,0.4925,0.4509433962264151,0.0075,0.7156177156177156,0.0,0.0
11827,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4725,0.41994510521500455,-0.05583333333333333,0.725,-0.040000000000000036,0.0
11827,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48541666666666666,0.4399243140964995,-0.007916666666666667,0.691566265060241,-0.040000000000000036,0.0
11828,no_codevelopment,0.22,0.54,0.68,0.28,0.49375,0.47545454545454546,0.012916666666666667,0.6883886255924171,0.0,0.0
11828,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4816666666666667,0.431244153414406,-0.025,0.716915995397008,-0.040000000000000036,0.0
11828,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.49375,0.4431082331174838,-0.007916666666666667,0.6787003610108303,-0.040000000000000036,0.0
11829,no_codevelopment,0.22,0.54,0.68,0.28,0.48833333333333334,0.4519056261343013,-0.015,0.6928487690504103,0.0,0.0
11829,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4870833333333333,0.42844036697247706,-0.03208333333333333,0.7068126520681265,-0.040000000000000036,0.0
11829,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47833333333333333,0.43944954128440367,-0.030833333333333334,0.7085781433607521,-0.040000000000000036,0.0
11830,no_codevelopment,0.22,0.54,0.68,0.28,0.48041666666666666,0.44776119402985076,-0.012916666666666667,0.7010309278350515,0.0,0.0
11830,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4575,0.40142729705619984,-0.10166666666666667,0.7379077615298087,-0.040000000000000036,0.0
11830,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.475,0.41711229946524064,-0.07,0.6783216783216783,-0.040000000000000036,0.0
11831,no_codevelopment,0.22,0.54,0.68,0.28,0.48583333333333334,0.4619826756496631,0.02,0.6966824644549763,0.0,0.0
11831,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.46875,0.4180327868852459,-0.06375,0.724053724053724,-0.040000000000000036,0.0
11831,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4945833333333333,0.4411492122335496,-0.007916666666666667,0.6654320987654321,-0.040000000000000036,0.0
11832,no_codevelopment,0.22,0.54,0.68,0.28,0.48125,0.43755958055290756,-0.010416666666666666,0.7154285714285714,0.0,0.0
11832,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.49083333333333334,0.422613531047266,-0.028333333333333332,0.6845794392523364,-0.040000000000000036,0.0
11832,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47791666666666666,0.42207792207792205,-0.04125,0.6980440097799511,-0.040000000000000036,0.0
11833,no_codevelopment,0.22,0.54,0.68,0.28,0.48041666666666666,0.4619826756496631,0.014583333333333334,0.7146311970979444,0.0,0.0
11833,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4825,0.44912923923006415,-0.018333333333333333,0.7070828331332533,-0.040000000000000036,0.0
11833,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48375,0.4377880184331797,-0.024583333333333332,0.691415313225058,-0.040000000000000036,0.0
11834,no_codevelopment,0.22,0.54,0.68,0.28,0.49583333333333335,0.45401742497579867,0.025833333333333333,0.6952054794520548,0.0,0.0
11834,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4825,0.4281609195402299,-0.015,0.6884480746791132,-0.040000000000000036,0.0
11834,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47583333333333333,0.4250681198910082,-0.051666666666666666,0.7292418772563177,-0.040000000000000036,0.0
11835,no_codevelopment,0.22,0.54,0.68,0.28,0.49666666666666665,0.45716945996275604,0.010833333333333334,0.6951934349355217,0.0,0.0
11835,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.46041666666666664,0.42075996292863765,-0.06041666666666667,0.6978155339805825,-0.040000000000000036,0.0
11835,bidirectional_codevelopment,0.1,0.5018,0.9,0.1,0.46708333333333335,0.41442307692307695,-0.04041666666666666,0.7097902097902098,-0.040000000000000036,0.0018000000000000238
11836,no_codevelopment,0.22,0.54,0.68,0.28,0.4945833333333333,0.4577338129496403,-0.007916666666666667,0.7107540173053152,0.0,0.0
