world,delta,L,selected_scale,oracle_scale,pred8,pred18,pred128,err8,err18,err128
SINGLE_SHIFT,0.8,4,8,8,0.21221117024432834,0.2701905455801581,0.2881312739097241,0.52,0.72,0.74
SINGLE_SHIFT,0.8,4,8,8,0.23169755376050205,0.23524623028343278,0.2710505946160892,0.04,0.08,0.08
SINGLE_SHIFT,0.8,4,18,8,0.24807903131491107,0.2463134048873418,0.27622065613719204,0.46,0.54,0.56
SINGLE_SHIFT,0.8,4,18,8,0.21189278553921465,0.19620773054773294,0.21658107800162674,0.14,0.14,0.14
SINGLE_SHIFT,0.8,4,8,8,0.15637535097360428,0.20386001273214066,0.22999117159753207,0.5,0.6,0.62
SINGLE_SHIFT,0.8,6,8,8,0.20148843574855693,0.23656326735661914,0.23696210584116412,0.08,0.08,0.08
SINGLE_SHIFT,0.8,6,8,8,0.17376811665615016,0.24706837754642802,0.2904794855372958,0.36,0.78,0.82
SINGLE_SHIFT,0.8,6,8,8,0.16724560136002328,0.20908926316865725,0.26420706553736456,0.04,0.06,0.1
SINGLE_SHIFT,0.8,6,8,8,0.2184786516845019,0.29727681712955256,0.3623624819505254,0.0,0.62,0.72
SINGLE_SHIFT,0.8,6,8,8,0.15496682021028968,0.1934307954862489,0.3151964798632056,0.02,0.04,0.08
SINGLE_SHIFT,0.8,6,8,8,0.15568798449722793,0.2318812872300556,0.2362803486277243,0.42,0.56,0.56
SINGLE_SHIFT,0.8,6,8,8,0.1735324449553944,0.23855386542532142,0.29307654393787397,0.08,0.14,0.14
SINGLE_SHIFT,0.8,6,8,8,0.16518712204746355,0.20856205856861573,0.2980263752347448,0.22,0.54,0.62
SINGLE_SHIFT,0.8,8,8,18,0.15036336624933896,0.3349001688655006,0.3694282041490947,0.36,0.08,0.08
SINGLE_SHIFT,0.8,8,8,8,0.1764400883585855,0.2198962431627391,0.28928058898219844,0.36,0.78,0.82
SINGLE_SHIFT,0.8,8,8,18,0.16324009441332774,0.2152214647626915,0.4064997473973216,0.54,0.04,0.1
SINGLE_SHIFT,0.8,8,8,8,0.17917346490292732,0.19759867246739857,0.32604660082156367,0.0,0.5,0.72
SINGLE_SHIFT,0.8,8,8,8,0.15894485860141477,0.2063117776764156,0.25348713551183233,0.04,0.08,0.08
SINGLE_SHIFT,0.8,8,8,8,0.1575093086602213,0.228048296810799,0.29986623388396333,0.18,0.52,0.56
SINGLE_SHIFT,0.8,8,8,18,0.1673095944041737,0.31956080410434595,0.39409198222063424,0.3,0.14,0.14
SINGLE_SHIFT,0.8,8,8,8,0.1510716139381178,0.21692600966873368,0.3237915741969912,0.04,0.52,0.6
SINGLE_SHIFT,0.8,12,18,8,0.20796779547875083,0.20005562290495377,0.23441412438603104,0.08,0.08,0.08
SINGLE_SHIFT,0.8,12,8,8,0.15322776278497016,0.1761889655685177,0.33514899053583774,0.02,0.58,0.82
SINGLE_SHIFT,0.8,12,18,8,0.18905528549771636,0.1673261750334779,0.30936849644271047,0.04,0.04,0.1
SINGLE_SHIFT,0.8,12,8,8,0.16499692561859344,0.1836075541386969,0.2722855287038553,0.5,0.7,0.76
SINGLE_SHIFT,0.8,12,18,8,0.17528075881533225,0.15000318694970274,0.26697777420560614,0.04,0.04,0.08
SINGLE_SHIFT,0.8,12,8,8,0.16239640142653636,0.19461736580133532,0.3866514187291798,0.04,0.1,0.54
SINGLE_SHIFT,0.8,12,8,18,0.15252390316444625,0.17583775350039418,0.37368548749524116,0.26,0.1,0.14
SINGLE_SHIFT,0.8,12,18,8,0.1791486803319494,0.17191373866275392,0.3359459622663031,0.1,0.22,0.6
SINGLE_SHIFT,0.8,18,18,18,0.23978345240191962,0.15667990376009877,0.29017161944656633,0.08,0.06,0.08
SINGLE_SHIFT,0.8,18,18,18,0.23455314359338986,0.1672702039034841,0.2629654942660501,0.74,0.34,0.82
SINGLE_SHIFT,0.8,18,18,128,0.21111439675450627,0.13559712584666017,0.38338905441110704,0.3,0.42,0.06
SINGLE_SHIFT,0.8,18,18,8,0.2154806212086774,0.14517961667062834,0.3628438068894315,0.0,0.0,0.72
SINGLE_SHIFT,0.8,18,18,128,0.2282029369906753,0.14864450692378178,0.39792915167574094,0.12,0.3,0.08
SINGLE_SHIFT,0.8,18,18,18,0.2415173725502349,0.17609909189354525,0.31661658929638603,0.3,0.04,0.54
SINGLE_SHIFT,0.8,18,18,8,0.19535970400191754,0.13099011323480808,0.33833141087574137,0.06,0.1,0.14
SINGLE_SHIFT,0.8,18,18,8,0.1644532465070717,0.15561695272351234,0.45429741105538735,0.08,0.08,0.6
SINGLE_SHIFT,0.8,24,18,8,0.18232207405778159,0.15094908844076504,0.3189001066207497,0.08,0.08,0.08
SINGLE_SHIFT,0.8,24,18,18,0.18278091820371867,0.15054320830582413,0.3829702408341108,0.08,0.0,0.78
SINGLE_SHIFT,0.8,24,18,18,0.1926179791595785,0.13446619312976343,0.3496967427869426,0.04,0.0,0.08
SINGLE_SHIFT,0.8,24,18,18,0.23579525495765802,0.16177845103405775,0.33059711172584505,0.22,0.0,0.72
SINGLE_SHIFT,0.8,24,18,128,0.21392257315335084,0.15425293615315658,0.4031624913522605,0.38,0.22,0.08
SINGLE_SHIFT,0.8,24,18,8,0.18745947113093195,0.1546162235520342,0.3054661360253844,0.06,0.14,0.54
SINGLE_SHIFT,0.8,24,8,18,0.18321639152230806,0.2024554571440402,0.4342331254259772,0.52,0.06,0.14
SINGLE_SHIFT,0.8,24,18,18,0.18581027303401984,0.13939292245282495,0.23396163358010882,0.52,0.48,0.6
SINGLE_SHIFT,0.8,36,18,8,0.24398248073285594,0.16824611040717966,0.3469659523573011,0.06,0.28,0.08
SINGLE_SHIFT,0.8,36,18,8,0.2442649036623029,0.16649923252623483,0.3741760979756032,0.08,0.08,0.78
SINGLE_SHIFT,0.8,36,8,18,0.16177247889056273,0.1909150604756201,0.3367605123091974,0.28,0.04,0.06
SINGLE_SHIFT,0.8,36,18,18,0.20436920089770752,0.1502675058640495,0.2772450461071486,0.22,0.02,0.68
SINGLE_SHIFT,0.8,36,18,18,0.2176319943967604,0.1512841260922054,0.28047267200639003,0.04,0.02,0.08
SINGLE_SHIFT,0.8,36,18,18,0.18179284300352908,0.13556477162847072,0.44056786262266234,0.06,0.04,0.52
SINGLE_SHIFT,0.8,36,18,18,0.19495525279444784,0.1647697467665411,0.3323744914849382,0.34,0.04,0.14
SINGLE_SHIFT,0.8,36,18,8,0.20764848439113676,0.1454487782862413,0.3714125352379021,0.08,0.08,0.6
SINGLE_SHIFT,0.8,48,18,128,0.18595781443458806,0.1316856844242161,0.28632249444291924,0.16,0.14,0.08
SINGLE_SHIFT,0.8,48,8,8,0.16395001642295554,0.16818229504455104,0.3140095778421572,0.04,0.28,0.78
SINGLE_SHIFT,0.8,48,18,18,0.20753858798560343,0.15569065111028868,0.23476892451079348,0.04,0.02,0.06
SINGLE_SHIFT,0.8,48,18,18,0.1878265837122565,0.14139822741337002,0.23684845237756058,0.18,0.12,0.62
SINGLE_SHIFT,0.8,48,18,128,0.20005661120881482,0.1491210645734237,0.39416479464929927,0.32,0.16,0.08
SINGLE_SHIFT,0.8,48,18,18,0.19772230850424893,0.13895025305024142,0.2964446823810323,0.16,0.04,0.54
SINGLE_SHIFT,0.8,48,18,8,0.2157562840208325,0.1606284823143776,0.22895696277725527,0.1,0.1,0.14
SINGLE_SHIFT,0.8,48,18,18,0.18325878198415657,0.13568892884265205,0.2493141814204808,0.22,0.14,0.54
LOCAL_PULSE_REVERT,0.3,18,18,128,0.17702422441115898,0.14346906733602008,0.17590024683179775,0.06,0.06,0.04
LOCAL_PULSE_REVERT,0.3,18,18,8,0.18601193524165258,0.15287826474875332,0.19898862387440178,0.06,0.08,0.1
LOCAL_PULSE_REVERT,0.3,18,18,128,0.1984108428970065,0.1815576132990314,0.21536530650436272,0.32,0.16,0.0
