world,label,delta,L,p8,p18,p128,selected_scale,oracle_scale
SINGLE_SHIFT,1,0.55,2,0.22467672094630542,0.165168016692768,0.149409782111761,18,8
SINGLE_SHIFT,1,0.55,2,0.16003090692206354,0.11789521314854647,0.22925491909675325,18,18
SINGLE_SHIFT,1,0.55,2,0.7741395204324709,0.11333515827197645,0.06888430233640853,128,8
SINGLE_SHIFT,1,0.55,4,0.4153361582320772,0.11842800154006486,0.1065513837926269,18,8
SINGLE_SHIFT,1,0.55,4,0.599454267672508,0.21757752063985653,0.1664021700698494,18,8
SINGLE_SHIFT,1,0.55,4,0.23426792371200744,0.2685721947781515,0.048495666025295835,8,8
SINGLE_SHIFT,1,0.55,4,0.1600455671964968,0.11504393738843846,0.0527022006994426,18,18
SINGLE_SHIFT,1,0.55,4,0.2268177235507305,0.1172068019883414,0.0643210274917672,128,8
SINGLE_SHIFT,1,0.55,4,0.24709023676595318,0.3327845084470851,0.05871233128374528,8,8
SINGLE_SHIFT,1,0.55,4,0.389023102422205,0.1881071215995398,0.04572260673232978,18,8
SINGLE_SHIFT,1,0.55,4,0.7719499642832893,0.11386308611738444,0.07407402328748522,128,18
SINGLE_SHIFT,1,0.55,6,0.22115723554599367,0.11640714641691119,0.05386930766555622,18,8
SINGLE_SHIFT,1,0.55,6,0.2064041676845291,0.16845593810125722,0.06813988841585486,18,18
SINGLE_SHIFT,1,0.55,6,0.2110782062981629,0.14597774997987908,0.045451361739801015,18,8
SINGLE_SHIFT,1,0.55,6,0.19570859111888433,0.12651189753088646,0.07747275472783091,18,8
SINGLE_SHIFT,1,0.55,6,0.16525311205247858,0.6060144361435058,0.04787023418026322,8,18
SINGLE_SHIFT,1,0.55,6,0.4170794771282433,0.415839966190252,0.15098070162659233,8,8
SINGLE_SHIFT,1,0.55,6,0.16803625866295827,0.12439910204870128,0.046891636008291784,18,8
SINGLE_SHIFT,1,0.55,6,0.16253178969404833,0.48281701173415853,0.05752664229881839,8,8
SINGLE_SHIFT,1,0.55,8,0.21933090865869356,0.9985431316648643,0.37080089819390044,8,18
SINGLE_SHIFT,1,0.55,8,0.5062297356648457,0.11718324629970542,0.04792422793710246,18,8
SINGLE_SHIFT,1,0.55,8,0.17293100344162834,0.14603900199548076,0.08146156692930166,18,8
SINGLE_SHIFT,1,0.55,8,0.16183214379755018,0.18715416434420276,0.10530178001669271,18,8
SINGLE_SHIFT,1,0.55,8,0.16653415331579982,0.8701532381802407,0.07822264708480084,8,8
SINGLE_SHIFT,1,0.55,8,0.9733068539599433,0.5536938297060918,0.18231211922325855,18,8
SINGLE_SHIFT,1,0.55,8,0.18148051667723672,0.20315302488257683,0.05473138701205639,18,8
SINGLE_SHIFT,1,0.55,8,0.24214237162887614,0.9766382003699356,0.06719164562121586,8,8
SINGLE_SHIFT,1,0.55,12,0.1616173024287069,0.3059672224302052,0.07173076873649939,8,8
SINGLE_SHIFT,1,0.55,12,0.16280348999362082,0.27218539429176963,0.04614290103323776,18,8
