seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18248,tdc_no_perceptual_development,0.7216494845360825,0.20266666666666666,0.4329896907216495,0.3633692458374143,0.5623093333333286,0.58,0.95,0.95,0.8995598352547073,0.37603566869613864,0.8558810416396421
18248,simple_fixed_q058,0.7183098591549296,0.22266666666666668,0.3380281690140845,0.3270321361058601,0.554807111111106,0.58,0.24,0.34,0.4,0.62,0.34
18248,simple_fixed_q084_a008,0.7906976744186046,0.11333333333333333,0.3953488372093023,0.15377268385864373,0.681871111111107,0.84,0.24,0.34,0.4,0.62,0.34
18249,tdc_full_developmental_perception,0.8351648351648352,0.05733333333333333,0.27472527472527475,0.16929133858267717,0.7049031111111075,0.911666310699512,0.95,0.95,0.95,0.20615344081424458,0.9109616397964387
18249,tdc_no_perceptual_development,0.6375,0.22266666666666668,0.475,0.316147859922179,0.5593404444444398,0.58,0.95,0.95,0.8853413142017595,0.4024928069413271,0.8457121268151081
18249,simple_fixed_q058,0.6551724137931034,0.236,0.5287356321839081,0.3606719367588933,0.5895422222222156,0.58,0.24,0.34,0.4,0.62,0.34
18249,simple_fixed_q084_a008,0.8333333333333334,0.104,0.36904761904761907,0.17576961271102284,0.7098568888888851,0.84,0.24,0.34,0.4,0.62,0.34
18250,tdc_full_developmental_perception,0.85,0.05466666666666667,0.275,0.14285714285714285,0.7209182222222192,0.9095372550094156,0.95,0.95,0.9439743759196322,0.23480014168036137,0.9022935585598177
18250,tdc_no_perceptual_development,0.6521739130434783,0.22266666666666668,0.4927536231884058,0.34210526315789475,0.559543999999995,0.58,0.95,0.95,0.8691099893920098,0.4382831078971043,0.8327067203737263
18250,simple_fixed_q058,0.6333333333333333,0.21866666666666668,0.4666666666666667,0.3317167798254122,0.5889022222222173,0.58,0.24,0.34,0.4,0.62,0.34
