profile_id,seed,A_TF,I,C_T,R_C,H_self,weakest_link,mean_maturity,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
3465,11396,0.4679217321343681,0.40110814320743193,0.6837301215608347,0.8584674690009519,0.7938418751355028,0.20615812486449725,0.5234771181536167,0.46908197088032677,0.2053901758383799,0.6706986286105784,0.8270927223974942,0.6683937823834197,0.616,0.631336405529954,0.27910000000000024,0.338
3466,11396,0.6772887886083527,0.43001447503901524,0.304385349461289,0.30533959078103456,0.27933629183769476,0.304385349461289,0.4875383824103993,0.45502923002705775,0.25755352775740126,0.690077743062979,0.6951414846405047,0.7107692307692308,0.696,0.631336405529954,0.3434999999999994,0.65
3467,11396,0.8918789523761195,0.762153989963485,0.89857426512826,0.6908977069837812,0.6738310422731592,0.32616895772684085,0.7139347744356973,0.6725921577163985,0.5606073924300387,0.8565216932095678,0.8987110502977449,0.9,0.86,0.85,0.6859999999999945,0.84
3468,11396,0.8281871756363253,0.212576764835763,0.5764193112693021,0.567886562653545,0.60099211332197,0.212576764835763,0.5168155402145931,0.4702460733941484,0.25918199708958656,0.6935007319885731,0.8288464956666584,0.700507614213198,0.624,0.7017543859649122,0.33459999999999956,0.348
3469,11396,0.46114942518649343,0.524351541077984,0.38874283283858924,0.2896693669183853,0.3640743884736158,0.2896693669183853,0.45996775550956726,0.44431103580816733,0.21753040767660908,0.6713387576696459,0.6755029728295583,0.6729559748427673,0.658,0.6666666666666666,0.3341999999999995,0.636
3470,11396,0.8744942206328601,0.8156701232496468,0.8102879239100131,0.46063525576353703,0.14500416264565696,0.46063525576353703,0.7632166721820799,0.7437832743214836,0.6307456039052112,0.8987941430180557,0.7793999045389524,0.9103260869565217,0.828,0.8259109311740891,0.6191999999999958,0.736
3471,11396,0.658450554548998,0.21707405584325135,0.5176219139258247,0.8959639789667053,0.49732217835539505,0.21707405584325135,0.5583576649858768,0.5064595950310506,0.2328858879490253,0.6889748000441798,0.7996653299759162,0.7098445595854922,0.67,0.7102803738317757,0.4049999999999991,0.34
3472,11396,0.31462544309270235,0.6572090347631754,0.22385269559357582,0.5864338682032029,0.06975622893135362,0.22385269559357582,0.5424729625442606,0.47913191665557964,0.2246113213789393,0.6805804999771589,0.6050797662110762,0.6332179930795848,0.634,0.6377952755905512,0.23710000000000125,0.578
3473,11396,0.7528202017855086,0.7109713569909544,0.5733387033552921,0.54506614666611,0.5125288889964643,0.4874711110035357,0.61393350396028,0.6057180902169816,0.4445899438462461,0.7957570326544801,0.7975203699971634,0.776595744680851,0.752,0.7802690582959642,0.5183999999999966,0.752
3474,11396,0.8298685681384439,0.8524579184832402,0.8226051847868285,0.5850137843927712,0.5115254572871484,0.4884745427128516,0.7156839997028271,0.6985159838537657,0.5867770193688617,0.8721792252285998,0.8429016073579847,0.8612565445026178,0.812,0.8319672131147541,0.6097999999999955,0.764
3475,11396,0.3949961787953425,0.3537522531221853,0.8236411153720014,0.6088302203618827,0.057312629548172137,0.3537522531221853,0.6247814276206479,0.5807360728455931,0.21861020372174877,0.6963487786753413,0.6863223641643273,0.6862745098039216,0.68,0.6431718061674009,0.32539999999999875,0.612
3476,11396,0.293283143655817,0.5917063834297145,0.3888910251594628,0.4572075384695171,0.7724270132045796,0.22757298679542037,0.39173221550198634,0.3709292436478081,0.15859955262822079,0.6333790759604582,0.7244050970237765,0.6381766381766382,0.594,0.5560747663551402,0.214,0.0
3477,11396,0.5436521869929254,0.24274310668033897,0.4472328399477146,0.5352143461888936,0.6386925013575316,0.24274310668033897,0.4260299956904682,0.4087721417029226,0.16687840667082116,0.643667916308271,0.7633881046749632,0.7083333333333334,0.628,0.6824644549763034,0.34469999999999934,0.306
3478,11396,0.2179728580124298,0.7933891035399303,0.6518902733727647,0.785126505146112,0.20378657026594388,0.2179728580124298,0.6489184339610586,0.5883103078375487,0.28057116804097754,0.7237357459879693,0.672065426006832,0.740625,0.706,0.6775510204081633,0.3579999999999982,0.64
3479,11396,0.3138866900241899,0.947699198649353,0.6163751490123248,0.7208539546350368,0.19465357905619163,0.3138866900241899,0.6808322826529426,0.6388864987658751,0.3827583829280602,0.7757580906076428,0.6798127460226745,0.7839506172839507,0.74,0.7546296296296297,0.4955999999999973,0.648
3480,11396,0.48559760792740486,0.27303686777768144,0.7797727823106713,0.2823859399930728,0.25510227849130784,0.27303686777768144,0.5131381839035045,0.46503016370353467,0.18133631500357927,0.6598666817681396,0.7046412615806936,0.68,0.662,0.6805555555555556,0.3534999999999987,0.65
3481,11396,0.3986164883823705,0.25073689019573353,0.24924957247221424,0.5436808484161906,0.7303578927583104,0.24924957247221424,0.34238518134163964,0.3254677283443765,0.10807828635379492,0.6039770713705817,0.7295138492850068,0.6180758017492711,0.608,0.65,0.272,0.0
