seed,model,final_ethical_reliability,final_third_factor_volition,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,successful_reorganization_rate,early_R_gain,late_R_gain
12233,selfactualization_loop,0.5,0.6799612685703155,0.95,0.9305593523692269,0.9,0.5077777777777778,0.5182038834951457,0.052933333333332985,0.31686541737649065,0.4471046770601336,-0.022764518090183095,-0.0011105037888247127
12234,perception_only,0.5023180991913382,0.22,0.3,0.38,0.66,0.43472222222222223,0.4335748792270531,-0.08638888888888889,0.7017994858611826,0.0,-0.03820185414749677,0.00031809919133818365
12234,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5183333333333333,0.527599486521181,0.09646111111111177,0.32439446366782004,0.0,-0.050000000000000044,0.29099861388421433
12234,selfactualization_loop,0.5,0.6709183263799664,0.95,0.9233162782117055,0.9,0.5016666666666667,0.49452672247263363,0.052613888888888405,0.30708661417322836,0.4012314007183171,-0.04765073586943325,0.0
12235,perception_only,0.503992,0.22,0.3,0.38,0.66,0.4494444444444444,0.4484964811260397,-0.029444444444444443,0.6969424460431655,0.0,-0.04800000000000004,-0.026501252210430204
12235,autonomy_only,0.9378,0.95,0.3,0.38,0.66,0.5391666666666667,0.5588235294117647,0.13418333333333568,0.32858340318524726,0.0,-0.04800691203941876,0.08284519831391424
12235,selfactualization_loop,0.5,0.6819437391849991,0.95,0.9314923673201481,0.9,0.5,0.5113986444855206,0.04591944444444397,0.34215017064846415,0.4194236926360726,-0.014144352780404268,0.0
12236,perception_only,0.502,0.22,0.3,0.38,0.66,0.44083333333333335,0.4309494451294698,-0.07194444444444445,0.6716917922948074,0.0,-0.04836280722806918,-0.0019919999999999938
12236,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5283333333333333,0.521551724137931,0.08313333333333349,0.3501712328767123,0.0,-0.050000000000000044,0.31585872763334666
12236,selfactualization_loop,0.5,0.6736346885263067,0.95,0.9255773851265999,0.9,0.49333333333333335,0.4868421052631579,0.025033333333332908,0.3468507333908542,0.42008412197686645,-0.03619615121970288,-0.0020430849744368373
12237,perception_only,0.5058232578910685,0.22,0.3,0.38,0.66,0.4272222222222222,0.4448484848484848,-0.08166666666666667,0.7039586919104991,0.0,-0.01378105331069357,0.003823257891068521
12237,autonomy_only,0.9318,0.95,0.3,0.38,0.66,0.5330555555555555,0.5396725440806045,0.11371111111111264,0.3473861720067454,0.0,-0.046756554000422335,0.11806447097870065
12237,selfactualization_loop,0.5,0.6782067521223497,0.95,0.9274141036788376,0.9,0.5066666666666667,0.5056532663316583,0.05617777777777737,0.3488773747841105,0.43475877192982454,-0.018178334167194055,-0.02436202755091943
