seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,probe_rate,low_risk_opportunity_cost
10103,threshold_probe_v245,0.34381666666666805,0.8057395143487859,0.19426048565121412,0.2461111111111111,0.15888888888888889,0.0
10103,voi_probe,0.32481666666666703,0.7924944812362031,0.20750551876379691,0.24388888888888888,0.09222222222222222,0.0
10103,always_probe_high_risk,0.3264277777777766,0.8024282560706402,0.19757174392935983,0.2388888888888889,0.5033333333333333,0.0
10103,oracle_key_audit_only,0.38848888888889244,0.8300220750551877,0.16997792494481237,0.25166666666666665,0.0,0.0
10104,hard_key_continuous,0.2628666666666649,0.752453653217012,0.247546346782988,0.2538888888888889,0.0,0.0
10104,threshold_probe_v245,0.2979416666666642,0.777535441657579,0.22246455834242093,0.24666666666666667,0.1661111111111111,0.0
10104,voi_probe,0.29730277777777586,0.7753544165757906,0.22464558342420937,0.2477777777777778,0.08277777777777778,0.0
10104,always_probe_high_risk,0.27170277777777124,0.7688113413304253,0.2311886586695747,0.2388888888888889,0.5094444444444445,0.0
10104,oracle_key_audit_only,0.3624222222222242,0.8135223555070883,0.18647764449291168,0.2538888888888889,0.0,0.0
10105,hard_key_continuous,0.31142222222222193,0.7823779193205945,0.21762208067940553,0.25333333333333335,0.0,0.0
10105,threshold_probe_v245,0.346633333333334,0.8067940552016986,0.1932059447983015,0.24722222222222223,0.1622222222222222,0.0
10105,voi_probe,0.34228333333333416,0.802547770700637,0.19745222929936307,0.25277777777777777,0.08333333333333333,0.0
10105,always_probe_high_risk,0.33399444444444326,0.8067940552016986,0.1932059447983015,0.24388888888888888,0.5233333333333333,0.0
10105,oracle_key_audit_only,0.40386666666667037,0.8375796178343949,0.1624203821656051,0.25555555555555554,0.0,0.0
10106,hard_key_continuous,0.2775777777777763,0.7637088733798604,0.23629112662013957,0.26666666666666666,0.0,0.0
10106,threshold_probe_v245,0.3264277777777769,0.7946161515453639,0.2053838484546361,0.2683333333333333,0.17888888888888888,0.0
10106,voi_probe,0.32895555555555556,0.7946161515453639,0.2053838484546361,0.27055555555555555,0.10666666666666667,0.0
10106,always_probe_high_risk,0.32207499999999634,0.7996011964107677,0.20039880358923232,0.2611111111111111,0.5572222222222222,0.0
10106,oracle_key_audit_only,0.4126888888888935,0.839481555333998,0.16051844466600199,0.27,0.0,0.0
10107,hard_key_continuous,0.3093111111111115,0.7810140237324703,0.21898597626752966,0.25722222222222224,0.0,0.0
10107,threshold_probe_v245,0.34243333333333437,0.8047464940668824,0.19525350593311758,0.25055555555555553,0.1711111111111111,0.0
10107,voi_probe,0.3400166666666678,0.8015102481121898,0.19848975188781015,0.25333333333333335,0.08777777777777777,0.0
10107,always_probe_high_risk,0.3072861111111069,0.790722761596548,0.209277238403452,0.25,0.515,0.0
10107,oracle_key_audit_only,0.37508888888889264,0.8209277238403452,0.1790722761596548,0.25666666666666665,0.0,0.0
10108,hard_key_continuous,0.2748444444444427,0.760593220338983,0.23940677966101695,0.2627777777777778,0.0,0.0
10108,threshold_probe_v245,0.29202499999999754,0.774364406779661,0.225635593220339,0.25555555555555554,0.16944444444444445,0.0
10108,voi_probe,0.27542499999999726,0.7627118644067796,0.23728813559322035,0.2594444444444444,0.085,0.0
10108,always_probe_high_risk,0.2831555555555477,0.7764830508474576,0.22351694915254236,0.24666666666666667,0.5244444444444445,0.0
10108,oracle_key_audit_only,0.37084444444444664,0.8177966101694916,0.18220338983050846,0.2627777777777778,0.0,0.0
10109,hard_key_continuous,0.30871111111111166,0.7805676855895196,0.21943231441048036,0.255,0.0,0.0
10109,threshold_probe_v245,0.357911111111114,0.8144104803493449,0.185589519650655,0.24555555555555555,0.1688888888888889,0.0
10109,voi_probe,0.35002500000000214,0.8078602620087336,0.19213973799126638,0.25,0.08944444444444444,0.0
10109,always_probe_high_risk,0.33712222222222243,0.8089519650655022,0.19104803493449782,0.245,0.5088888888888888,0.0
10109,oracle_key_audit_only,0.40115555555556026,0.8373362445414847,0.16266375545851527,0.25277777777777777,0.0,0.0
10110,hard_key_continuous,0.2785111111111094,0.7629083245521602,0.23709167544783982,0.28,0.0,0.0
10110,threshold_probe_v245,0.30753333333333127,0.7839831401475237,0.2160168598524763,0.26555555555555554,0.18666666666666668,0.0
10110,voi_probe,0.3194361111111109,0.7892518440463646,0.2107481559536354,0.26722222222222225,0.10055555555555555,0.0
10110,always_probe_high_risk,0.300947222222217,0.7871443624868283,0.21285563751317177,0.2638888888888889,0.5272222222222223,0.0
10110,oracle_key_audit_only,0.37628888888889195,0.8208640674394099,0.1791359325605901,0.2738888888888889,0.0,0.0
10111,hard_key_continuous,0.3465777777777797,0.8039647577092511,0.1960352422907489,0.2577777777777778,0.0,0.0
10111,threshold_probe_v245,0.360047222222224,0.816079295154185,0.183920704845815,0.24944444444444444,0.1738888888888889,0.0
10111,voi_probe,0.36140000000000216,0.8149779735682819,0.18502202643171806,0.24666666666666667,0.08444444444444445,0.0
10111,always_probe_high_risk,0.33958888888888933,0.8105726872246696,0.1894273127753304,0.24555555555555555,0.5044444444444445,0.0
10111,oracle_key_audit_only,0.39991111111111505,0.8370044052863436,0.16299559471365638,0.2577777777777778,0.0,0.0
10112,hard_key_continuous,0.32773333333333476,0.7922077922077922,0.2077922077922078,0.25333333333333335,0.0,0.0
10112,threshold_probe_v245,0.3521222222222242,0.8106060606060606,0.1893939393939394,0.24944444444444444,0.16666666666666666,0.0
10112,voi_probe,0.36383055555555893,0.816017316017316,0.18398268398268397,0.25222222222222224,0.08611111111111111,0.0
10112,always_probe_high_risk,0.3542111111111118,0.8192640692640693,0.18073593073593072,0.2461111111111111,0.5133333333333333,0.0
10112,oracle_key_audit_only,0.41662222222222767,0.8463203463203464,0.15367965367965367,0.2544444444444444,0.0,0.0
10113,hard_key_continuous,0.27042222222222023,0.7577374599786553,0.24226254002134473,0.2611111111111111,0.0,0.0
10113,threshold_probe_v245,0.2892638888888855,0.7726787620064034,0.22732123799359658,0.2511111111111111,0.17277777777777778,0.0
