seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12913,hybrid_reward_and_ethics,0.5292,0.476,0.5524,0.5588,0.95,0.7347171982352652,0.8662050119365977,0.891584510742938,0.3122769928380413,0.2432,0.7426155811473478,0.044504000000002215
12914,static_baseline,0.4816,0.4888,0.4616,0.4516,0.24,0.56,0.32,0.4,0.64,0.2976,0.42372,-0.13300000000000095
12914,success_fed_thirdfactor,0.9644,1.0,0.7592,0.4232,0.95,0.8960000000000226,0.32,0.4,0.64,0.5768,0.38728,0.14860499999998864
12914,ethicalsense_plus_idealgap,0.5232,0.4936,0.5552,0.5976,0.49341790682758224,0.9354802130958497,0.8934043652832492,0.9160639287549244,0.30798546118719144,0.2332,0.7674590360673021,0.09494499999999827
12914,hybrid_reward_and_ethics,0.5332,0.4852,0.548,0.5524,0.95,0.7349132191767295,0.8666475291869031,0.8919827762682128,0.31201148248785815,0.248,0.7404434775312552,0.04329500000000197
12915,static_baseline,0.4812,0.5048,0.4544,0.462,0.24,0.56,0.32,0.4,0.64,0.3032,0.42628,-0.14284000000000155
12915,success_fed_thirdfactor,0.968,1.0,0.742,0.44,0.95,0.9375000000000003,0.32,0.4,0.64,0.56,0.394,0.1275229999999972
12915,ethicalsense_plus_idealgap,0.5352,0.4732,0.5708,0.6092,0.4889758409095959,0.9389405559153121,0.8937039435414309,0.9163335491872865,0.30552476562165337,0.2068,0.7740754611618599,0.1375429999999994
12915,hybrid_reward_and_ethics,0.5336,0.4836,0.5528,0.5656,0.95,0.7347523503933426,0.8662985052700601,0.8916686547430538,0.3122208968379636,0.2412,0.7449037302140809,0.05501800000000109
12916,static_baseline,0.4912,0.5088,0.4592,0.4508,0.24,0.56,0.32,0.4,0.64,0.3084,0.4224,-0.1341600000000019
12916,success_fed_thirdfactor,0.9608,1.0,0.7336,0.4392,0.95,0.8895000000000272,0.32,0.4,0.64,0.5608,0.39368000000000003,0.13279900000000297
12916,ethicalsense_plus_idealgap,0.5332,0.4872,0.5652,0.612,0.47978692918779636,0.9376437122166182,0.8921268308606044,0.9149141477745437,0.30219199990541423,0.2176,0.7736651031299446,0.1414939999999995
12916,hybrid_reward_and_ethics,0.5264,0.514,0.5452,0.572,0.95,0.7346917214133502,0.8661587323247457,0.8915428590922718,0.3123047606051524,0.2488,0.7459917471472443,0.07074799999999969
12917,static_baseline,0.474,0.4848,0.4672,0.468,0.24,0.56,0.32,0.4,0.64,0.2912,0.42928,-0.09427999999999828
12917,success_fed_thirdfactor,0.9508,1.0,0.7264,0.4524,0.95,0.94,0.32,0.4,0.64,0.5476,0.39896,0.1313770000000031
12917,ethicalsense_plus_idealgap,0.5276,0.4828,0.582,0.6176,0.4846072737290296,0.9341400120456318,0.8933413637544575,0.9160072273790115,0.3036305458609494,0.2076,0.7766454977165019,0.14323699999999912
12917,hybrid_reward_and_ethics,0.5292,0.5056,0.5556,0.56,0.95,0.7348713968219865,0.8665488450565527,0.8918939605508975,0.3120706929660693,0.2536,0.7421126552041246,0.05936700000000076
12918,static_baseline,0.4588,0.51,0.4432,0.4532,0.24,0.56,0.32,0.4,0.64,0.3104,0.42292,-0.13876000000000177
12918,success_fed_thirdfactor,0.9656,1.0,0.7532,0.448,0.95,0.9240000000000019,0.32,0.4,0.64,0.552,0.3972,0.14314899999999373
12918,ethicalsense_plus_idealgap,0.5364,0.486,0.5948,0.6092,0.4778813629620244,0.94,0.8922459424934783,0.9150213482441303,0.30114392748622915,0.214,0.7733929364367939,0.16696900000000098
12918,hybrid_reward_and_ethics,0.5256,0.4992,0.5452,0.5532,0.95,0.7349032601943873,0.8666278400376632,0.8919650560338958,0.31202329597740297,0.2536,0.7401133376193961,0.03867000000000124
12919,static_baseline,0.4804,0.518,0.4608,0.448,0.24,0.56,0.32,0.4,0.64,0.3188,0.42052,-0.12815999999999955
12919,success_fed_thirdfactor,0.9648,1.0,0.7584,0.4404,0.95,0.8885000000000108,0.32,0.4,0.64,0.5596,0.39416,0.15445899999998863
12919,ethicalsense_plus_idealgap,0.5356,0.5064,0.5696,0.6076,0.4854367389546717,0.9390775756738349,0.8925252246116012,0.915272702150441,0.3046981897880546,0.2348,0.7704184919917224,0.13485799999999906
12919,hybrid_reward_and_ethics,0.5132,0.4836,0.5504,0.5592,0.95,0.7348242088349838,0.8664500235144353,0.891805021162993,0.3121299858913383,0.244,0.7427817621099345,0.0503190000000023
12920,static_baseline,0.472,0.5068,0.4572,0.4568,0.24,0.56,0.32,0.4,0.64,0.306,0.42444,-0.11983999999999967
12920,success_fed_thirdfactor,0.9716,1.0,0.7324,0.4292,0.95,0.9265000000000408,0.32,0.4,0.64,0.5708,0.38968,0.10626600000000312
12920,ethicalsense_plus_idealgap,0.5156,0.4872,0.5652,0.6252,0.4837568901054787,0.9388,0.8930015791897922,0.9157014212708142,0.30347718170090493,0.2128,0.7782840939005263,0.13589899999999958
12920,hybrid_reward_and_ethics,0.5384,0.496,0.5644,0.5612,0.95,0.7347978596733983,0.8663686064357934,0.8917317457922134,0.3121788361385238,0.2472,0.7430198323144335,0.07086899999999843
12921,static_baseline,0.4904,0.5164,0.4608,0.4528,0.24,0.56,0.32,0.4,0.64,0.3184,0.422,-0.1301600000000013
12921,success_fed_thirdfactor,0.9704,1.0,0.736,0.4408,0.95,0.920500000000002,0.32,0.4,0.64,0.5592,0.39432,0.11918099999999687
12921,ethicalsense_plus_idealgap,0.532,0.4796,0.5524,0.624,0.4843004223793425,0.94,0.8927242412676387,0.9154518171408736,0.30397081817556076,0.2144,0.7775721798124121,0.13145499999999957
12921,hybrid_reward_and_ethics,0.538,0.5004,0.558,0.574,0.95,0.7345256703534472,0.865815796617085,0.8912342169553757,0.3125105220297491,0.2484,0.7464551352577986,0.08614499999999789
12922,static_baseline,0.4768,0.4944,0.454,0.4528,0.24,0.56,0.32,0.4,0.64,0.3052,0.42332,-0.1463200000000022
